x,y
34496,13351
34496,46662
7072,51745
7072,8268
29450,48777
29450,11236
7359,58714
7359,1299
51378,32316
51378,27697
45983,17573
45983,42440
13325,26768
13325,33245
43952,18419
43952,41594
6877,31789
6877,28224
21907,51553
21907,8460
7793,26902
7793,33111
49052,49653
49052,10360
22306,20680
22306,39333
27680,8577
27680,51436
45538,928
45538,59085
10809,33368
10809,26645
10213,52261
10213,7752
26252,39066
26252,20947
45565,53901
45565,6112
51190,22704
51190,37309
19583,48176
19583,11837
129,9323
129,50690
21273,19040
21273,40973
1812,17419
1812,42594
8832,21068
8832,38945
14618,46024
14618,13989
30544,5660
30544,54353
56926,29326
56926,30687
58778,20848
58778,39165
14263,9638
14263,50375
33905,6363
33905,53650
46644,14904
46644,45109
13772,8493
13772,51520
35504,46257
35504,13756
27494,35909
27494,24104
22361,55263
22361,4750
38026,39441
38026,20572
33662,31469
33662,28544
22631,3874
22631,56139
14786,18748
14786,41265
48120,14493
48120,45520
45522,55363
45522,4650
22355,17756
22355,42257
18924,11451
18924,48562
31264,18063
31264,41950
40342,34741
40342,25272
6259,24280
6259,35733
56423,3301
56423,56712
44686,43314
44686,16699
37549,18105
37549,41908
37604,47865
37604,12148
9153,57217
9153,2796
13572,10084
13572,49929
9569,15220
9569,44793
59266,59782
59266,231
47444,36639
47444,23374
8936,17677
8936,42336
4472,46842
4472,13171
11745,17805
11745,42208
44510,10222
44510,49791
5875,2007
5875,58006
42213,25842
42213,34171
5245,36169
5245,23844
5149,13216
5149,46797
57058,18500
57058,41513
27144,6663
27144,53350
33079,3337
33079,56676
30145,4598
30145,55415
10266,38071
10266,21942
1394,56243
1394,3770
40585,59636
40585,377
3865,20176
3865,39837
7083,44480
7083,15533
10670,59171
10670,842
59105,14648
59105,45365
29289,19933
29289,40080
16367,27342
16367,32671
18088,46119
18088,13894
4933,5122
4933,54891
30185,34281
30185,25732
19703,39375
19703,20638
20308,50187
20308,9826
55549,3961
55549,56052
53515,32133
53515,27880
5148,58788
5148,1225
11466,36822
11466,23191
36253,552
36253,59461
23584,1831
23584,58182
47250,54987
47250,5026
27158,13213
27158,46800
2219,21445
2219,38568
2419,13625
2419,46388
33949,43609
33949,16404
5419,6540
5419,53473
40542,39240
40542,20773
38961,24358
38961,35655
25253,35034
25253,24979
53882,48707
53882,11306
47158,43639
47158,16374
2697,11711
2697,48302
40072,26283
40072,33730
26354,3708
26354,56305
457,7721
457,52292
33037,8365
33037,51648
10109,58393
10109,1620
6940,21518
6940,38495
23046,11970
23046,48043
36983,533
36983,59480
18199,53374
18199,6639
10642,18189
10642,41824
50153,25076
50153,34937
21997,53943
21997,6070
48091,41332
48091,18681
49251,47676
49251,12337
17313,17367
17313,42646
47682,16011
47682,44002
28292,42770
28292,17243
49790,52849
49790,7164
54185,7603
54185,52410
36551,34870
36551,25143
44538,7528
44538,52485
48269,38427
48269,21586
28112,37254
28112,22759
50608,53855
50608,6158
37569,10
37569,60003
29792,19547
29792,40466
9022,6900
9022,53113
45858,32116
45858,27897
9458,51960
9458,8053
46774,3182
46774,56831
15342,30913
15342,29100
13385,40484
13385,19529
17898,19506
17898,40507
54477,18163
54477,41850
32933,26531
32933,33482
26340,51419
26340,8594
36169,21879
36169,38134
42751,52916
42751,7097
33646,31064
33646,28949
35719,57051
35719,2962
52303,25449
52303,34564
44664,41987
44664,18026
45702,31555
45702,28458
43025,55263
43025,4750
36002,20305
36002,39708
58345,36427
58345,23586
31505,47107
31505,12906
42702,21427
42702,38586
31157,54892
31157,5121
17754,28661
17754,31352
48448,49344
48448,10669
14794,15409
14794,44604
4727,5765
4727,54248
52381,26348
52381,33665
33562,39671
33562,20342
57159,14804
57159,45209
3339,2588
3339,57425
24099,41577
24099,18436
36409,10649
36409,49364
14638,25773
14638,34240
23213,41528
23213,18485
20674,5593
20674,54420
59455,5804
59455,54209
57168,43120
57168,16893
40244,53880
40244,6133
46129,15715
46129,44298
23701,9180
23701,50833
44196,53322
44196,6691
24447,16325
24447,43688
41119,44007
41119,16006
20487,48245
20487,11768
28886,29711
28886,30302
40738,6608
40738,53405
2598,54571
2598,5442
19940,28417
19940,31596
43265,7143
43265,52870
26616,9049
26616,50964
35087,32884
35087,27129
46431,1840
46431,58173
33166,30420
33166,29593
5288,9259
5288,50754
28227,15646
28227,44367
27177,15596
27177,44417
21712,23254
21712,36759
32301,56779
32301,3234
41010,52878
41010,7135
22940,21077
22940,38936
56976,24715
56976,35298
51777,3182
51777,56831
28602,25890
28602,34123
56679,42879
56679,17134
30039,15282
30039,44731
28407,15719
28407,44294
17542,30070
17542,29943
51388,45684
51388,14329
11043,51205
11043,8808
56624,46349
56624,13664
41523,2716
41523,57297
20912,24527
20912,35486
2624,11466
2624,48547
22579,1103
22579,58910
132,59242
132,771
31163,9651
31163,50362
26495,23151
26495,36862
6422,11124
6422,48889
5249,30750
5249,29263
52215,5038
52215,54975
39549,23595
39549,36418
40485,33132
40485,26881
45586,46287
45586,13726
15698,50929
15698,9084
4326,54423
4326,5590
30716,13228
30716,46785
9493,51841
9493,8172
46498,23024
46498,36989
14654,33269
14654,26744
23394,57150
23394,2863
3171,12550
3171,47463
15645,17888
15645,42125
3441,43170
3441,16843
27685,21184
27685,38829
48898,48850
48898,11163
8506,38484
8506,21529
28587,21965
28587,38048
49037,4470
49037,55543
37516,54755
37516,5258
12605,50125
12605,9888
52136,39647
52136,20366
23417,35600
23417,24413
22468,35492
22468,24521
24617,21252
24617,38761
8294,9632
8294,50381
19268,55564
19268,4449
17499,42938
17499,17075
44724,52182
44724,7831
45087,34763
45087,25250
31220,44706
31220,15307
24285,13294
24285,46719
11230,29228
11230,30785
13207,54566
13207,5447
25240,1150
25240,58863
1690,33894
1690,26119
23873,25313
23873,34700
6492,49215
6492,10798
24822,21811
24822,38202
28222,35654
28222,24359
54838,36461
54838,23552
40748,13165
40748,46848
3090,54337
3090,5676
30036,25148
30036,34865
9246,30951
9246,29062
10323,51381
10323,8632
37093,41475
37093,18538
57394,815
57394,59198
18353,35204
18353,24809
25006,43180
25006,16833
41689,22744
41689,37269
29859,41456
29859,18557
35701,18846
35701,41167
32237,22145
32237,37868
42438,56119
42438,3894
43405,16882
43405,43131
668,38411
668,21602
34554,56993
34554,3020
55783,27492
55783,32521
19951,44234
19951,15779
32599,46518
32599,13495
42881,42059
42881,17954
8831,57508
8831,2505
21394,54969
21394,5044
32803,5945
32803,54068
13868,11051
13868,48962
35852,18748
35852,41265
24187,8
24187,60005
41260,54922
41260,5091
9146,2768
9146,57245
27375,39759
27375,20254
25552,18462
25552,41551
35059,44232
35059,15781
22694,16233
22694,43780
18619,26757
18619,33256
14179,30932
14179,29081
59994,56593
59994,3420
40447,2138
40447,57875
31637,2077
31637,57936
5152,51188
5152,8825
33976,21389
33976,38624
25607,56226
25607,3787
37808,5664
37808,54349
39654,47821
39654,12192
53770,36856
53770,23157
22399,2582
22399,57431
17707,15283
17707,44730
46251,50991
46251,9022
24019,53542
24019,6471
39649,27752
39649,32261
23355,10959
23355,49054
11056,55675
11056,4338
35414,19086
35414,40927
2860,10498
2860,49515
31767,31558
31767,28455
8232,10164
8232,49849
12708,20408
12708,39605
58055,9336
58055,50677
6161,26127
6161,33886
58696,56124
58696,3889
22532,9339
22532,50674
38623,54315
38623,5698
16732,9150
16732,50863
50353,45943
50353,14070
35211,20428
35211,39585
41543,35180
41543,24833
19906,29591
19906,30422
23232,13017
23232,46996
19735,12091
19735,47922
20614,40715
20614,19298
5795,2431
5795,57582
11932,1674
11932,58339
58215,7894
58215,52119
32492,8146
32492,51867
24997,50042
24997,9971
35380,49759
35380,10254
3592,9667
3592,50346
41899,56072
41899,3941
3819,26601
3819,33412
43630,54027
43630,5986
34038,57951
34038,2062
48226,40584
48226,19429
3059,48300
3059,11713
20678,36697
20678,23316
25366,32526
25366,27487
59428,10090
59428,49923
13166,42624
13166,17389
25768,1530
25768,58483
36398,10886
36398,49127
39136,49568
39136,10445
29689,54387
29689,5626
32408,10411
32408,49602
850,42173
850,17840
31703,3248
31703,56765
23344,15620
23344,44393
16134,51404
16134,8609
27581,53423
27581,6590
36217,18948
36217,41065
12658,53246
12658,6767
58077,18648
58077,41365
12352,27517
12352,32496
19502,46788
19502,13225
28484,36211
28484,23802
16211,49986
16211,10027
4228,40252
4228,19761
2563,40056
2563,19957
441,18480
441,41533
20768,35127
20768,24886
6160,39476
6160,20537
50842,28960
50842,31053
27988,41680
27988,18333
9899,15866
9899,44147
13976,1009
13976,59004
20574,16567
20574,43446
21537,46142
21537,13871
59905,8895
59905,51118
23311,36912
23311,23101
33690,54244
33690,5769
38103,48394
38103,11619
36564,53424
36564,6589
23534,13378
23534,46635
25952,13803
25952,46210
1284,5748
1284,54265
56705,16231
56705,43782
11321,48082
11321,11931
37468,16196
37468,43817
28441,40648
28441,19365
17881,53195
17881,6818
26920,35643
26920,24370
19725,37925
19725,22088
38315,28335
38315,31678
11510,7028
11510,52985
26808,57274
26808,2739
15853,2126
15853,57887
2302,32233
2302,27780
45494,27744
45494,32269
35282,50738
35282,9275
50882,22538
50882,37475
47361,56842
47361,3171
7515,31840
7515,28173
27405,45446
27405,14567
38217,20406
38217,39607
16454,9566
16454,50447
19885,4459
19885,55554
12236,43184
12236,16829
44839,3281
44839,56732
12219,23698
12219,36315
18574,21698
18574,38315
11762,7085
11762,52928
53204,5333
53204,54680
49571,16158
49571,43855
23397,30268
23397,29745
43080,17630
43080,42383
8863,44168
8863,15845
30795,59261
30795,752
41377,51565
41377,8448
32493,2529
32493,57484
23669,42590
23669,17423
43222,6656
43222,53357
53682,8648
53682,51365
47196,51290
47196,8723
19456,49394
19456,10619
11070,24274
11070,35739
30843,34332
30843,25681
44095,29380
44095,30633
7129,24144
7129,35869
55631,8423
55631,51590
41015,33725
41015,26288
4155,29862
4155,30151
52845,57024
52845,2989
29959,6921
29959,53092
7421,33372
7421,26641
23471,15057
23471,44956
54208,38240
54208,21773
42593,24815
42593,35198
55688,41022
55688,18991
31137,51811
31137,8202
30184,28045
30184,31968
23398,7352
23398,52661
2646,14467
2646,45546
8143,9787
8143,50226
32771,23572
32771,36441
1817,32698
1817,27315
48911,23666
48911,36347
16112,47279
16112,12734
8154,56856
8154,3157
32982,30089
32982,29924
46418,50994
46418,9019
31752,20381
31752,39632
40343,54701
40343,5312
46548,49158
46548,10855
2118,12887
2118,47126
1056,13975
1056,46038
13699,47194
13699,12819
5578,38564
5578,21449
41876,26391
41876,33622
37473,27518
37473,32495
52425,44611
52425,15402
55656,385
55656,59628
57866,47288
57866,12725
22115,5154
22115,54859
16722,44882
16722,15131
18621,8025
18621,51988
32981,20763
32981,39250
50545,49435
50545,10578
4542,44745
4542,15268
1161,716
1161,59297
29567,21941
29567,38072
35986,21167
35986,38846
2198,48242
2198,11771
2678,44918
2678,15095
42431,57467
42431,2546
4796,13163
4796,46850
9473,1476
9473,58537
56840,25882
56840,34131
3071,34845
3071,25168
11763,51875
11763,8138
21035,52791
21035,7222
51866,35734
51866,24279
34768,57805
34768,2208
28544,50524
28544,9489
3733,24086
3733,35927
48719,14936
48719,45077
32024,37501
32024,22512
25436,48231
25436,11782
28417,44299
28417,15714
1686,15110
1686,44903
22773,15326
22773,44687
51821,37239
51821,22774
10276,21599
10276,38414
7901,16902
7901,43111
11969,29919
11969,30094
20234,21290
20234,38723
1180,58419
1180,1594
4885,43287
4885,16726
37946,13853
37946,46160
39806,17717
39806,42296
2225,38720
2225,21293
59694,7768
59694,52245
32646,1802
32646,58211
4191,50203
4191,9810
41513,29193
41513,30820
27954,47540
27954,12473
32292,41093
32292,18920
27161,28427
27161,31586
38828,26117
38828,33896
14094,47573
14094,12440
13992,46812
13992,13201
46919,359
46919,59654
4319,49804
4319,10209
35350,34906
35350,25107
33694,27359
33694,32654
30639,5600
30639,54413
