x,y
45067,16899
45067,33094
21570,18035
21570,31958
5908,32404
5908,17589
15790,24946
15790,25047
11827,10667
11827,39326
2011,14001
2011,35992
39190,11209
39190,38784
6255,25143
6255,24850
7624,29155
7624,20838
33695,8273
33695,41720
16819,47714
16819,2279
35505,10683
35505,39310
34053,10828
34053,39165
2295,36967
2295,13026
43925,5396
43925,44597
34089,8264
34089,41729
18970,3535
18970,46458
2277,2975
2277,47018
10849,36423
10849,13570
38086,35795
38086,14198
2096,14919
2096,35074
39707,46947
39707,3046
20034,14380
20034,35613
24278,44878
24278,5115
40579,32820
40579,17173
3718,43808
3718,6185
36122,15523
36122,34470
44930,2582
44930,47411
10879,36583
10879,13410
25026,19205
25026,30788
47095,38806
47095,11187
9208,27955
9208,22038
10095,36570
10095,13423
20214,15416
20214,34577
12506,21951
12506,28042
46239,43561
46239,6432
25466,42228
25466,7765
15331,42050
15331,7943
26857,1114
26857,48879
11982,23941
11982,26052
26875,11258
26875,38735
1146,44721
1146,5272
26312,17669
26312,32324
41048,27252
41048,22741
45819,35120
45819,14873
17002,31530
17002,18463
41403,32760
41403,17233
47868,9414
47868,40579
40710,11725
40710,38268
12926,4745
12926,45248
13185,1479
13185,48514
27569,27228
27569,22765
21537,4503
21537,45490
18699,13034
18699,36959
40977,37057
40977,12936
20135,49216
20135,777
40523,14806
40523,35187
39570,42852
39570,7141
18263,11631
18263,38362
1475,8848
1475,41145
35632,11676
35632,38317
3665,126
3665,49867
15093,36178
15093,13815
1107,29684
1107,20309
37263,45818
37263,4175
26577,41020
26577,8973
16933,19497
16933,30496
11389,30466
11389,19527
5109,24251
5109,25742
18848,29660
18848,20333
17948,45027
17948,4966
20095,11409
20095,38584
32649,46032
32649,3961
45797,12978
45797,37015
31071,11627
31071,38366
33077,23057
33077,26936
8330,4941
8330,45052
32665,7181
32665,42812
36508,20048
36508,29945
40716,49646
40716,347
30028,7938
30028,42055
36071,44291
36071,5702
27994,41333
27994,8660
11043,24775
11043,25218
24045,34306
24045,15687
37356,38840
37356,11153
17247,1403
17247,48590
11960,25640
11960,24353
47179,46396
47179,3597
41499,25055
41499,24938
32470,35443
32470,14550
34581,22622
34581,27371
8006,17070
8006,32923
47203,18296
47203,31697
37475,31685
37475,18308
42678,6884
42678,43109
29990,25113
29990,24880
12452,37774
12452,12219
24580,19311
24580,30682
29204,49463
29204,530
39094,15789
39094,34204
12518,44488
12518,5505
42672,10891
42672,39102
19374,42934
19374,7059
18412,1808
18412,48185
40005,21587
40005,28406
5493,4274
5493,45719
21316,46166
21316,3827
26593,11912
26593,38081
6923,5165
6923,44828
42612,42694
42612,7299
14795,35568
14795,14425
41875,14148
41875,35845
17680,27212
17680,22781
12028,36059
12028,13934
41452,12084
41452,37909
10435,20894
10435,29099
6218,25065
6218,24928
24167,10520
24167,39473
49464,9359
49464,40634
34609,3600
34609,46393
31794,26771
31794,23222
14009,37964
14009,12029
10038,47301
10038,2692
18937,19993
18937,30000
38854,40209
38854,9784
49087,1600
49087,48393
16773,44594
16773,5399
34263,30091
34263,19902
20865,21102
20865,28891
46748,37518
46748,12475
18347,2444
18347,47549
48748,30698
48748,19295
43233,44601
43233,5392
33060,23062
33060,26931
14281,10531
14281,39462
