x,y
1047346,3472844
1047346,3009909
5073821,6222696
5073821,260057
3272239,3067806
3272239,3414947
5065234,3502675
5065234,2980078
17930,800169
17930,5682584
3653586,669776
3653586,5812977
3380267,2239638
3380267,4243115
5752469,4850815
5752469,1631938
5438782,3303369
5438782,3179384
3831631,4310790
3831631,2171963
605058,2835437
605058,3647316
5925113,3647736
5925113,2835017
4854043,1867796
4854043,4614957
4518125,6112797
4518125,369956
1036506,2382138
1036506,4100615
2045620,5606459
2045620,876294
3154223,1263577
3154223,5219176
5191609,4352518
5191609,2130235
204961,4413396
204961,2069357
4866729,1932609
4866729,4550144
2704175,5531014
2704175,951739
3157714,4442780
3157714,2039973
4434599,4035431
4434599,2447322
1430104,100593
1430104,6382160
3552040,5997498
3552040,485255
1007247,5795763
1007247,686990
1091339,2075574
1091339,4407179
1261189,5505012
1261189,977741
5359507,5438530
5359507,1044223
116709,6397974
116709,84779
4115018,768118
4115018,5714635
6078590,4076357
6078590,2406396
2092154,2701337
2092154,3781416
826030,1977944
826030,4504809
6412465,234415
6412465,6248338
997777,437456
997777,6045297
5091309,844167
5091309,5638586
5643957,2678255
5643957,3804498
4069663,2958680
4069663,3524073
5544312,1167476
5544312,5315277
4939548,3550866
4939548,2931887
1320832,2144381
1320832,4338372
6186561,1638469
6186561,4844284
2426224,83811
2426224,6398942
159829,3213300
159829,3269453
384013,5708223
384013,774530
6355295,4334435
6355295,2148318
3722817,829131
3722817,5653622
4778655,428541
4778655,6054212
19925,719514
19925,5763239
5376769,2264236
5376769,4218517
4961748,1827234
4961748,4655519
2877797,6206938
2877797,275815
331561,826412
331561,5656341
5920553,3218994
5920553,3263759
2226726,6304755
2226726,177998
2632629,1377391
2632629,5105362
890739,6102392
890739,380361
3289707,3593270
3289707,2889483
1572072,1831074
1572072,4651679
513704,1498095
513704,4984658
4220648,1615435
4220648,4867318
886861,5942951
886861,539802
1526887,5039704
1526887,1443049
1787504,207735
1787504,6275018
299963,2920216
299963,3562537
5554519,3714125
5554519,2768628
2184887,5118231
2184887,1364522
1863003,2847048
1863003,3635705
5248694,2442032
5248694,4040721
3580279,3764459
3580279,2718294
4055875,999431
4055875,5483322
671616,1290805
671616,5191948
5680428,5441605
5680428,1041148
106182,1396042
106182,5086711
5897783,5055012
5897783,1427741
1614748,4554516
1614748,1928237
3467919,2688704
3467919,3794049
5763515,2509966
5763515,3972787
988886,1546933
988886,4935820
6175904,472720
6175904,6010033
5844375,2430481
5844375,4052272
5672063,2780850
5672063,3701903
1962083,742088
1962083,5740665
5321830,5969493
5321830,513260
920868,583004
920868,5899749
4744480,3290000
4744480,3192753
2748040,782175
2748040,5700578
5191144,196270
5191144,6286483
830760,2112645
830760,4370108
5626201,2244041
5626201,4238712
4915081,247349
4915081,6235404
3782540,3671980
3782540,2810773
3628149,768828
3628149,5713925
1673931,131884
1673931,6350869
6238195,2421293
6238195,4061460
3892145,1637207
3892145,4845546
4342254,2368322
4342254,4114431
1330760,4316334
1330760,2166419
800334,6329530
800334,153223
6284715,5800726
6284715,682027
57897,6005086
57897,477667
318759,6384758
318759,97995
5292002,601071
5292002,5881682
224703,433831
224703,6048922
3402531,787210
3402531,5695543
3180380,171292
3180380,6311461
894144,1082580
894144,5400173
766905,1609547
766905,4873206
4330924,3793936
4330924,2688817
489865,2455411
489865,4027342
3445410,3960259
3445410,2522494
6131035,5742450
6131035,740303
1263046,802046
1263046,5680707
2338651,5330679
2338651,1152074
4776191,537948
4776191,5944805
1060094,1941399
1060094,4541354
3707029,4010109
3707029,2472644
5533732,4373026
5533732,2109727
5901254,40730
5901254,6442023
6459970,5192270
6459970,1290483
4494860,2522676
4494860,3960077
1577625,5002714
1577625,1480039
5937246,581221
5937246,5901532
4530141,6198055
4530141,284698
2914877,4508800
2914877,1973953
6076424,4872917
6076424,1609836
4735986,3159662
4735986,3323091
5305032,1433264
5305032,5049489
3406794,2057924
3406794,4424829
4510556,1191902
4510556,5290851
3414743,4891843
3414743,1590910
3507031,1604635
3507031,4878118
4073294,73153
4073294,6409600
1320668,4776789
1320668,1705964
1007998,3193467
1007998,3289286
4525470,4104771
4525470,2377982
3104414,1322432
3104414,5160321
2021932,440266
2021932,6042487
1343103,5328793
1343103,1153960
756297,5578642
756297,904111
5155469,5924031
5155469,558722
3545841,5057822
3545841,1424931
2337263,2989802
2337263,3492951
4714510,4223052
4714510,2259701
3329372,3092258
3329372,3390495
3623374,4688341
3623374,1794412
430257,4527488
430257,1955265
5794017,2444867
5794017,4037886
261521,5997055
261521,485698
3546762,5002941
3546762,1479812
706075,3488448
706075,2994305
1421638,797766
1421638,5684987
1525167,2217548
1525167,4265205
2975529,5580027
2975529,902726
1250092,645831
1250092,5836922
1087688,2801836
1087688,3680917
3450658,6313958
3450658,168795
1132931,961206
1132931,5521547
1425907,2455541
1425907,4027212
4055580,2320872
4055580,4161881
6119595,3837095
6119595,2645658
2580956,4328231
2580956,2154522
863144,4292421
863144,2190332
1228669,634915
1228669,5847838
5346948,2645332
5346948,3837421
361601,4060110
361601,2422643
1123670,1418924
1123670,5063829
5774617,4280568
5774617,2202185
2580487,82468
2580487,6400285
2190013,1332988
2190013,5149765
325370,4455499
325370,2027254
2450475,3189862
2450475,3292891
1783706,5932821
1783706,549932
5110370,2026009
5110370,4456744
580557,3647267
580557,2835486
6431587,5223698
6431587,1259055
2972709,1747519
2972709,4735234
2131546,5286791
2131546,1195962
1105259,5150629
1105259,1332124
1040824,2524340
1040824,3958413
1914813,1801590
1914813,4681163
3144835,5288102
3144835,1194651
2967111,2512199
2967111,3970554
2449808,4374900
2449808,2107853
1339311,1164150
1339311,5318603
1024545,5854337
1024545,628416
836295,5689323
836295,793430
4847907,2649516
4847907,3833237
5713100,3455024
5713100,3027729
2946683,2915391
2946683,3567362
5984180,1069897
5984180,5412856
3043719,1731051
3043719,4751702
4552653,1036941
4552653,5445812
3089457,6332994
3089457,149759
4426512,4720289
4426512,1762464
2008327,399526
2008327,6083227
3006049,1426112
3006049,5056641
5520010,3894794
5520010,2587959
4924530,4934392
4924530,1548361
4678236,5427862
4678236,1054891
839890,1665280
839890,4817473
585424,6416030
585424,66723
4287132,6451807
4287132,30946
4789961,1117914
4789961,5364839
967512,1295910
967512,5186843
2335219,1187643
2335219,5295110
92093,5800000
92093,682753
89818,708356
89818,5774397
892978,10868
892978,6471885
1607975,1157269
1607975,5325484
4470568,4650952
4470568,1831801
408574,3546367
408574,2936386
4794355,4033882
4794355,2448871
39663,2087568
39663,4395185
3956881,116229
3956881,6366524
5782695,1189468
5782695,5293285
5001004,1430183
5001004,5052570
3023112,5535271
3023112,947482
3267606,3381565
3267606,3101188
3308816,2770992
3308816,3711761
3691554,3920949
3691554,2561804
669367,2889927
669367,3592826
838247,2842514
838247,3640239
2328165,2436624
2328165,4046129
5716904,2084740
5716904,4398013
1212704,1816697
1212704,4666056
1570744,4264107
1570744,2218646
651560,3269483
651560,3213270
5243737,5410359
5243737,1072394
5637117,6368254
5637117,114499
6126457,5240437
6126457,1242316
5024504,898757
5024504,5583996
2832147,4502197
2832147,1980556
2593361,6479848
2593361,2905
2270950,3170404
2270950,3312349
1375037,6450548
1375037,32205
6131445,4790096
6131445,1692657
6414,616997
6414,5865756
5321995,4626814
5321995,1855939
5693432,1224940
5693432,5257813
3351253,6166408
3351253,316345
3582289,1631958
3582289,4850795
5289168,875102
5289168,5607651
1762109,5353537
1762109,1129216
3991478,5118565
3991478,1364188
4528775,6267748
4528775,215005
3663691,3304324
3663691,3178429
2555713,5299967
2555713,1182786
2447743,2988871
2447743,3493882
