x,y,Ordre
18929,18125,25038
22171,42661,2782
22171,7332,2782
30502,9750,25038
30502,40243,25038
18698,8272,50076
18698,41721,50076
12207,13646,25038
12207,36347,25038
30608,21452,8346
30608,28541,8346
35834,579,25038
35834,49414,25038
32630,27862,25038
32630,22131,25038
4670,13393,50076
4670,36600,50076
42713,14930,12519
42713,35063,12519
7182,42878,25038
7182,7115,25038
629,7418,12519
629,42575,12519
6683,3820,50076
6683,46173,50076
8754,49391,50076
8754,602,50076
48590,13206,50076
48590,36787,50076
9536,38270,8346
9536,11723,8346
15729,21102,4173
15729,28891,4173
25703,38032,50076
25703,11961,50076
2178,23155,963
2178,26838,963
23493,3418,50076
23493,46575,50076
21707,25638,5564
21707,24355,5564
46965,46628,12519
46965,3365,12519
32357,40726,12519
32357,9267,12519
13433,38162,5564
13433,11831,5564
48637,8267,50076
48637,41726,50076
24086,25083,12519
24086,24910,12519
35094,46981,12519
35094,3012,12519
31032,26631,25038
31032,23362,25038
18170,47723,50076
18170,2270,50076
25430,9268,12519
25430,40725,12519
49613,47689,12519
49613,2304,12519
36725,8285,50076
36725,41708,50076
2386,12420,25038
2386,37573,25038
10242,24315,25038
10242,25678,25038
5809,5584,12519
5809,44409,12519
44842,30225,50076
44842,19768,50076
11393,26633,50076
11393,23360,50076
27024,39433,50076
27024,10560,50076
19895,10822,50076
19895,39171,50076
19357,24973,50076
19357,25020,50076
11805,17824,50076
11805,32169,50076
28451,20342,4173
28451,29651,4173
29292,30979,25038
29292,19014,25038
11031,7532,25038
11031,42461,25038
713,1317,1391
713,48676,1391
9121,7465,4173
9121,42528,4173
27602,36694,50076
27602,13299,50076
17705,23747,12519
17705,26246,12519
10260,14200,12519
10260,35793,12519
4695,3047,12519
4695,46946,12519
24667,18204,50076
24667,31789,50076
10905,22412,50076
10905,27581,50076
12213,23313,5564
12213,26680,5564
34925,21703,1391
34925,28290,1391
27577,27808,12519
27577,22185,12519
11841,32150,12519
11841,17843,12519
34563,40044,12519
34563,9949,12519
15921,43707,50076
15921,6286,50076
18758,16692,25038
18758,33301,25038
1108,16606,107
1108,33387,107
25982,34165,12519
25982,15828,12519
46917,23115,50076
46917,26878,50076
3125,6658,4173
3125,43335,4173
25596,47202,50076
25596,2791,50076
13259,31275,50076
13259,18718,50076
48617,13329,4173
48617,36664,4173
18116,48480,25038
18116,1513,25038
45600,39959,8346
45600,10034,8346
35566,20152,12519
35566,29841,12519
39612,20702,2782
39612,29291,2782
37010,529,25038
37010,49464,25038
28650,19394,50076
28650,30599,50076
9043,39431,16692
9043,10562,16692
17226,24939,321
17226,25054,321
10046,4915,50076
10046,45078,50076
29160,1367,16692
29160,48626,16692
39629,20394,50076
39629,29599,50076
25390,46298,25038
25390,3695,25038
13314,38097,50076
13314,11896,50076
33761,9646,50076
33761,40347,50076
1488,23752,50076
1488,26241,50076
8017,16965,50076
8017,33028,50076
28063,25441,50076
28063,24552,50076
4105,49987,50076
4105,6,50076
29794,15153,25038
29794,34840,25038
13980,49496,25038
13980,497,25038
4601,39950,50076
4601,10043,50076
30532,47760,50076
30532,2233,50076
47873,10801,12519
47873,39192,12519
33972,20835,16692
33972,29158,16692
2590,47399,25038
2590,2594,25038
8776,36934,4173
8776,13059,4173
35384,31594,8346
35384,18399,8346
25738,12401,50076
25738,37592,50076
23514,7602,16692
23514,42391,16692
5498,19473,25038
5498,30520,25038
44042,49338,25038
44042,655,25038
2482,41512,4173
2482,8481,4173
39671,26651,16692
39671,23342,16692
21068,41346,50076
21068,8647,50076
3534,33496,50076
3534,16497,50076
27956,988,25038
27956,49005,25038
19125,3935,117
19125,46058,117
15607,28937,50076
15607,21056,50076
16365,49956,12519
16365,37,12519
8707,3910,16692
8707,46083,16692
32518,6307,25038
32518,43686,25038
4111,44678,50076
4111,5315,50076
27595,47026,50076
27595,2967,50076
34493,38459,2782
34493,11534,2782
9152,29333,12519
9152,20660,12519
27732,30213,1926
27732,19780,1926
34899,39968,50076
34899,10025,50076
25354,9124,25038
25354,40869,25038
3715,22829,4173
3715,27164,4173
40469,28665,8346
40469,21328,8346
19081,18107,50076
19081,31886,50076
3913,5944,16692
3913,44049,16692
8360,31567,12519
8360,18426,12519
1296,37913,8346
1296,12080,8346
21774,20069,8346
21774,29924,8346
31782,44841,1391
31782,5152,1391
40685,37363,25038
40685,12630,25038
34394,46921,50076
34394,3072,50076
3079,40787,16692
3079,9206,16692
1212,39742,2782
1212,10251,2782
38659,35668,16692
38659,14325,16692
48029,9696,16692
48029,40297,16692
5443,32708,321
5443,17285,321
21840,41380,12519
21840,8613,12519
4355,29740,25038
4355,20253,25038
11010,12107,25038
11010,37886,25038
38148,6182,25038
38148,43811,25038
18399,48357,16692
18399,1636,16692
22637,5297,16692
22637,44696,16692
30196,46376,5564
30196,3617,5564
45554,2874,1391
45554,47119,1391
3053,47991,50076
3053,2002,50076
30079,3384,50076
30079,46609,50076
40919,34059,25038
40919,15934,25038
20309,15331,16692
20309,34662,16692
40071,16187,50076
40071,33806,50076
44952,13917,12519
44952,36076,12519
17118,34240,16692
17118,15753,16692
30089,44667,50076
30089,5326,50076
19704,45484,12519
19704,4509,12519
20883,10871,50076
20883,39122,50076
30277,41271,50076
30277,8722,50076
32581,47244,50076
32581,2749,50076
37543,28860,50076
37543,21133,50076
21662,8301,12519
21662,41692,12519
42314,5476,8346
42314,44517,8346
33356,17063,16692
33356,32930,16692
25677,38737,25038
25677,11256,25038
4606,39345,2782
4606,10648,2782
14478,22019,4173
14478,27974,4173
8958,34610,50076
8958,15383,50076
35632,11676,50076
35632,38317,50076
30723,46556,50076
30723,3437,50076
43293,8976,16692
43293,41017,16692
49183,19966,5564
49183,30027,5564
32263,30287,16692
32263,19706,16692
16547,24037,12519
16547,25956,12519
6594,42164,8346
6594,7829,8346
18656,30213,50076
18656,19780,50076
9505,40477,12519
9505,9516,12519
30090,7389,12519
30090,42604,12519
26397,44256,4173
26397,5737,4173
49662,41633,25038
49662,8360,25038
18602,15922,5564
18602,34071,5564
46921,38870,2782
46921,11123,2782
36665,28639,50076
36665,21354,50076
27329,20645,1391
27329,29348,1391
46023,34971,16692
46023,15022,16692
40262,18777,117
40262,31216,117
473,44813,12519
473,5180,12519
41555,45098,12519
41555,4895,12519
47955,29097,16692
47955,20896,16692
48478,8484,50076
48478,41509,50076
14862,6936,1284
14862,43057,1284
39933,11207,16692
39933,38786,16692
18529,27960,8346
18529,22033,8346
23415,42242,50076
23415,7751,50076
40608,17312,16692
40608,32681,16692
7643,39081,25038
7643,10912,25038
18335,21578,16692
18335,28415,16692
602,25728,25038
602,24265,25038
6408,12334,12519
6408,37659,12519
44033,1172,25038
44033,48821,25038
26228,3822,50076
26228,46171,50076
14720,40509,50076
14720,9484,50076
6616,978,12519
6616,49015,12519
8564,35695,8346
8564,14298,8346
38077,2289,50076
38077,47704,50076
16698,31249,50076
16698,18744,50076
30373,43174,12519
30373,6819,12519
15174,7681,50076
15174,42312,50076
26723,35196,25038
26723,14797,25038
20127,36180,12519
20127,13813,12519
12530,46262,12519
12530,3731,12519
8223,44219,50076
8223,5774,50076
34897,41864,50076
34897,8129,50076
16716,25446,50076
16716,24547,50076
21556,1808,25038
21556,48185,25038
21387,34943,12519
21387,15050,12519
17729,22703,50076
17729,27290,50076
32800,4783,8346
32800,45210,8346
