Ordre,Frequence
50076,9080
25038,4556
16692,3054
12519,4518
8346,1542
5564,1562
4173,1518
3852,792
2782,756
1926,388
1391,790
1284,258
963,386
642,112
468,98
428,130
321,140
234,48
214,64
156,30
117,36
107,60
78,18
52,18
39,16
36,2
26,8
18,4
13,8
12,2
9,2
6,2
4,2
2,1
