Ordre,Frequence
50076,9078
25038,4508
16692,3022
12519,4668
8346,1494
5564,1522
4173,1534
3852,770
2782,790
1926,404
1391,756
1284,238
963,410
642,144
468,90
428,134
321,124
234,34
214,58
156,30
117,48
107,72
78,10
52,10
39,16
36,8
26,8
18,4
13,6
12,4
9,4
6,2
