x,y,Ordre
33164,12676,50076
4430,30311,468
4430,19682,468
32362,33645,50076
32362,16348,50076
36461,28132,25038
36461,21861,25038
19192,40804,25038
19192,9189,25038
16376,37623,25038
16376,12370,25038
30328,5433,50076
30328,44560,50076
21829,32049,3852
21829,17944,3852
48090,24989,50076
48090,25004,50076
9685,25282,4173
9685,24711,4173
39922,904,12519
39922,49089,12519
30808,24657,25038
30808,25336,25038
26691,15542,50076
26691,34451,50076
44086,15441,50076
44086,34552,50076
22136,18926,25038
22136,31067,25038
37807,22280,16692
37807,27713,16692
4397,13674,12519
4397,36319,12519
22671,34260,50076
22671,15733,50076
31726,45763,50076
31726,4230,50076
10464,1152,25038
10464,48841,25038
18187,15988,16692
18187,34005,16692
20894,30888,8346
20894,19105,8346
42762,4614,12519
42762,45379,12519
38993,20792,25038
38993,29201,25038
4233,31480,107
4233,18513,107
21303,31215,5564
21303,18778,5564
20573,2471,50076
20573,47522,50076
30734,35821,321
30734,14172,321
10943,31705,12519
10943,18288,12519
25396,25176,25038
25396,24817,25038
25189,16300,321
25189,33693,321
4644,16751,12519
4644,33242,12519
14733,25539,2782
14733,24454,2782
41117,24411,1391
41117,25582,1391
17726,35702,16692
17726,14291,16692
32776,4927,25038
32776,45066,25038
34660,41769,50076
34660,8224,50076
34785,744,25038
34785,49249,25038
23541,48183,25038
23541,1810,25038
15561,22523,5564
15561,27470,5564
29854,28686,50076
29854,21307,50076
12560,21801,12519
12560,28192,12519
26687,36638,50076
26687,13355,50076
17600,20417,16692
17600,29576,16692
2601,3610,50076
2601,46383,50076
29304,39643,5564
29304,10350,5564
49033,14888,25038
49033,35105,25038
3290,25194,12519
3290,24799,12519
22433,22642,50076
22433,27351,50076
32434,19835,50076
32434,30158,50076
31773,16685,2782
31773,33308,2782
25525,35346,16692
25525,14647,16692
40649,33030,25038
40649,16963,25038
40148,26093,25038
40148,23900,25038
2529,41503,2782
2529,8490,2782
47762,13479,2782
47762,36514,2782
8648,44735,50076
8648,5258,50076
49069,12930,12519
49069,37063,12519
5853,37298,25038
5853,12695,25038
14218,35611,16692
14218,14382,16692
26159,48142,50076
26159,1851,50076
47890,21524,12519
47890,28469,12519
80,31220,16692
80,18773,16692
20089,14132,25038
20089,35861,25038
25052,46806,50076
25052,3187,50076
36136,31656,5564
36136,18337,5564
43835,39739,50076
43835,10254,50076
30046,12751,50076
30046,37242,50076
45365,30075,25038
45365,19918,25038
33230,39438,12519
33230,10555,12519
28970,44396,50076
28970,5597,50076
4212,45043,50076
4212,4950,50076
5225,14672,50076
5225,35321,50076
13580,20374,16692
13580,29619,16692
4019,16941,2782
4019,33052,2782
20709,25906,50076
20709,24087,50076
3971,35390,12519
3971,14603,12519
36601,43148,16692
36601,6845,16692
9335,7316,12519
9335,42677,12519
34130,13986,16692
34130,36007,16692
16260,44753,50076
16260,5240,50076
10142,31298,16692
10142,18695,16692
10045,45439,5564
10045,4554,5564
17178,5047,50076
17178,44946,50076
5828,38322,50076
5828,11671,50076
30585,33962,50076
30585,16031,50076
15564,18650,16692
15564,31343,16692
47225,44704,5564
47225,5289,5564
4787,3810,50076
4787,46183,50076
41852,26651,1284
41852,23342,1284
31224,30489,25038
31224,19504,25038
39658,2300,8346
39658,47693,8346
39628,26962,4173
39628,23031,4173
32357,40726,12519
32357,9267,12519
35515,9116,321
35515,40877,321
16400,8456,50076
16400,41537,50076
10159,9715,25038
10159,40278,25038
33997,30597,1284
33997,19396,1284
42109,32980,2782
42109,17013,2782
7086,328,50076
7086,49665,50076
26584,12100,25038
26584,37893,25038
32798,29647,8346
32798,20346,8346
34615,21687,25038
34615,28306,25038
33493,19556,16692
33493,30437,16692
25905,3078,1284
25905,46915,1284
8788,44834,3852
8788,5159,3852
39356,32118,50076
39356,17875,50076
22635,14510,50076
22635,35483,50076
33702,15952,50076
33702,34041,50076
8709,5809,50076
8709,44184,50076
25496,2150,12519
25496,47843,12519
44820,25539,25038
44820,24454,25038
24255,12352,12519
24255,37641,12519
23437,8475,25038
23437,41518,25038
11840,27125,12519
11840,22868,12519
8096,26543,16692
8096,23450,16692
37523,20209,12519
37523,29784,12519
17598,403,50076
17598,49590,50076
45984,43375,25038
45984,6618,25038
9803,31608,8346
9803,18385,8346
22502,14807,50076
22502,35186,50076
6059,34976,8346
6059,15017,8346
4228,29145,12519
4228,20848,12519
881,42066,25038
881,7927,25038
3696,11286,50076
3696,38707,50076
43205,29965,50076
43205,20028,50076
42858,29713,50076
42858,20280,50076
1965,17510,25038
1965,32483,25038
10127,32286,5564
10127,17707,5564
13127,19353,5564
13127,30640,5564
3932,1308,25038
3932,48685,25038
32808,67,25038
32808,49926,25038
48353,31912,16692
48353,18081,16692
11848,33065,25038
11848,16928,25038
33726,44436,50076
33726,5557,50076
16926,49949,16692
16926,44,16692
8045,33986,12519
8045,16007,12519
46042,35638,12519
46042,14355,12519
7240,8447,16692
7240,41546,16692
21312,26885,50076
21312,23108,50076
31104,9465,50076
31104,40528,50076
42713,14930,12519
42713,35063,12519
47338,4209,16692
47338,45784,16692
2051,45720,963
2051,4273,963
19464,40114,16692
19464,9879,16692
20067,34579,8346
20067,15414,8346
4976,46081,50076
4976,3912,50076
47250,31034,25038
47250,18959,25038
33246,24790,50076
33246,25203,50076
13361,25277,428
13361,24716,428
24942,21739,50076
24942,28254,50076
34428,9849,50076
34428,40144,50076
8584,35719,117
8584,14274,117
30158,28396,4173
30158,21597,4173
39370,1,50076
39370,49992,50076
22255,42661,50076
22255,7332,50076
2283,30754,50076
2283,19239,50076
31706,11509,12519
31706,38484,12519
14592,25175,16692
14592,24818,16692
28730,5728,16692
28730,44265,16692
34151,4993,50076
34151,45000,50076
27455,15151,8346
27455,34842,8346
42803,22544,2782
42803,27449,2782
10878,9971,50076
10878,40022,50076
5383,45661,16692
5383,4332,16692
2218,25288,25038
2218,24705,25038
9964,24775,25038
9964,25218,25038
37104,3773,50076
37104,46220,50076
4735,29712,16692
4735,20281,16692
31732,17294,50076
31732,32699,50076
37301,47844,12519
37301,2149,12519
30015,30266,2782
30015,19727,2782
25827,33545,1391
25827,16448,1391
42913,10545,50076
42913,39448,50076
25714,35382,12519
25714,14611,12519
40323,23026,12519
40323,26967,12519
9515,40123,50076
9515,9870,50076
14242,45159,4173
14242,4834,4173
22765,9902,12519
22765,40091,12519
11285,24925,25038
11285,25068,25038
48171,33830,50076
48171,16163,50076
25111,26332,50076
25111,23661,50076
12701,20455,2782
12701,29538,2782
19785,46418,12519
19785,3575,12519
31744,23305,50076
31744,26688,50076
46452,38017,50076
46452,11976,50076
40393,7849,50076
40393,42144,50076
38493,17676,50076
38493,32317,50076
15661,29209,8346
15661,20784,8346
42972,45392,16692
42972,4601,16692
2156,44893,4173
2156,5100,4173
19052,26017,50076
19052,23976,50076
16881,18495,25038
16881,31498,25038
19705,24696,25038
19705,25297,25038
40604,25684,4173
40604,24309,4173
43874,6725,25038
43874,43268,25038
13275,2633,16692
13275,47360,16692
30428,5015,5564
30428,44978,5564
49618,25892,50076
49618,24101,50076
19773,47827,50076
19773,2166,50076
37687,41407,50076
37687,8586,50076
20483,9603,4173
20483,40390,4173
8742,27976,5564
8742,22017,5564
37735,26135,50076
37735,23858,50076
