x,y,Ordre
41135,47460,12519
41135,2533,12519
45067,16899,50076
45067,33094,50076
21570,18035,50076
21570,31958,50076
34492,45820,25038
34492,4173,25038
45670,25883,963
45670,24110,963
5908,32404,50076
5908,17589,50076
17914,19896,468
17914,30097,468
28542,39425,2782
28542,10568,2782
15790,24946,50076
15790,25047,50076
41584,49642,12519
41584,351,12519
11827,10667,50076
11827,39326,50076
5839,20622,4173
5839,29371,4173
2011,14001,50076
2011,35992,50076
39190,11209,50076
39190,38784,50076
6255,25143,50076
6255,24850,50076
13579,30765,1391
13579,19228,1391
7624,29155,50076
7624,20838,50076
33695,8273,50076
33695,41720,50076
16819,47714,50076
16819,2279,50076
47913,20307,8346
47913,29686,8346
29788,33586,16692
29788,16407,16692
36935,44348,12519
36935,5645,12519
35505,10683,50076
35505,39310,50076
34053,10828,50076
34053,39165,50076
20190,22214,12519
20190,27779,12519
29053,876,12519
29053,49117,12519
2295,36967,50076
2295,13026,50076
43925,5396,50076
43925,44597,50076
34089,8264,50076
34089,41729,50076
18970,3535,50076
18970,46458,50076
12692,26404,25038
12692,23589,25038
26230,41909,1391
26230,8084,1391
9896,40232,3852
9896,9761,3852
2277,2975,50076
2277,47018,50076
26135,45466,12519
26135,4527,12519
15229,6237,8346
15229,43756,8346
21455,26683,5564
21455,23310,5564
8130,23492,12519
8130,26501,12519
766,48636,25038
766,1357,25038
41992,23523,25038
41992,26470,25038
10849,36423,50076
10849,13570,50076
37434,23546,1926
37434,26447,1926
28103,43694,2782
28103,6299,2782
38086,35795,50076
38086,14198,50076
2096,14919,50076
2096,35074,50076
46761,12006,428
46761,37987,428
39707,46947,50076
39707,3046,50076
8455,34466,16692
8455,15527,16692
40400,6059,12519
40400,43934,12519
19799,17966,25038
19799,32027,25038
41479,48434,1391
41479,1559,1391
20034,14380,50076
20034,35613,50076
7456,13749,25038
7456,36244,25038
24278,44878,50076
24278,5115,50076
40579,32820,50076
40579,17173,50076
3718,43808,50076
3718,6185,50076
36122,15523,50076
36122,34470,50076
4261,33909,963
4261,16084,963
19809,33964,25038
19809,16029,25038
46835,18830,4173
46835,31163,4173
31668,39616,1926
31668,10377,1926
41364,23815,16692
41364,26178,16692
16770,33473,12519
16770,16520,12519
47374,37985,16692
47374,12008,16692
26821,43400,1926
26821,6593,1926
29506,24380,25038
29506,25613,25038
22696,27494,2782
22696,22499,2782
5692,24723,8346
5692,25270,8346
17497,33557,4173
17497,16436,4173
44930,2582,50076
44930,47411,50076
18710,12335,16692
18710,37658,16692
37716,10224,25038
37716,39769,25038
12170,18217,963
12170,31776,963
10879,36583,50076
10879,13410,50076
47744,37587,3852
47744,12406,3852
35825,20963,1284
35825,29030,1284
23544,2881,3852
23544,47112,3852
25026,19205,50076
25026,30788,50076
37178,41498,16692
37178,8495,16692
3286,32126,5564
3286,17867,5564
47095,38806,50076
47095,11187,50076
40823,7544,1926
40823,42449,1926
9208,27955,50076
9208,22038,50076
5275,5411,5564
5275,44582,5564
7970,22964,5564
7970,27029,5564
27864,2619,25038
27864,47374,25038
10095,36570,50076
10095,13423,50076
33485,2852,25038
33485,47141,25038
10176,11989,5564
10176,38004,5564
37524,2809,963
37524,47184,963
22594,38815,25038
22594,11178,25038
5139,43588,16692
5139,6405,16692
9519,19905,4173
9519,30088,4173
16205,29168,12519
16205,20825,12519
34705,35505,16692
34705,14488,16692
20214,15416,50076
20214,34577,50076
12506,21951,50076
12506,28042,50076
22351,23329,25038
22351,26664,25038
7303,48357,16692
7303,1636,16692
43503,46518,963
43503,3475,963
11374,36482,5564
11374,13511,5564
2070,38474,12519
2070,11519,12519
21281,28554,1391
21281,21439,1391
29728,36521,5564
29728,13472,5564
49586,9510,16692
49586,40483,16692
46239,43561,50076
46239,6432,50076
22466,41295,16692
22466,8698,16692
1621,48188,5564
1621,1805,5564
27250,17385,25038
27250,32608,25038
22886,7644,16692
22886,42349,16692
2719,6431,1284
2719,43562,1284
39561,44396,25038
39561,5597,25038
7315,33427,8346
7315,16566,8346
18761,20061,12519
18761,29932,12519
10516,12737,4173
10516,37256,4173
33293,38864,4173
33293,11129,4173
41028,30980,963
41028,19013,963
34968,19579,5564
34968,30414,5564
2485,47398,25038
2485,2595,25038
25466,42228,50076
25466,7765,50076
