x,y,Ordre
49167,3263,20004
49167,56750,20004
34496,13351,60012
34496,46662,60012
7072,51745,60012
7072,8268,60012
17169,57335,15003
17169,2678,15003
29450,48777,60012
29450,11236,60012
15808,52278,5001
15808,7735,5001
3664,25844,30006
3664,34169,30006
20325,6212,30006
20325,53801,30006
12259,261,20004
12259,59752,20004
33757,49227,30006
33757,10786,30006
50566,44006,20004
50566,16007,20004
7359,58714,60012
7359,1299,60012
44202,6781,10002
44202,53232,10002
29963,33417,15003
29963,26596,15003
25277,29027,30006
25277,30986,30006
55739,40501,30006
55739,19512,30006
51378,32316,60012
51378,27697,60012
45983,17573,60012
45983,42440,60012
24111,31653,30006
24111,28360,30006
13325,26768,60012
13325,33245,60012
43952,18419,60012
43952,41594,60012
6877,31789,60012
6877,28224,60012
59424,26675,15003
59424,33338,15003
10932,30940,6668
10932,29073,6668
5413,37588,15003
5413,22425,15003
52816,12790,6668
52816,47223,6668
21907,51553,60012
21907,8460,60012
26384,15631,6668
26384,44382,6668
7793,26902,60012
7793,33111,60012
42515,20761,5001
42515,39252,5001
7687,44519,15003
7687,15494,15003
49052,49653,60012
49052,10360,60012
22306,20680,60012
22306,39333,60012
4303,1285,15003
4303,58728,15003
4132,35600,10002
4132,24413,10002
19017,1987,5001
19017,58026,5001
36515,29485,3334
36515,30528,3334
21769,5574,20004
21769,54439,20004
25795,18740,30006
25795,41273,30006
27680,8577,60012
27680,51436,60012
18435,35664,15003
18435,24349,15003
45538,928,60012
45538,59085,60012
17948,54690,30006
17948,5323,30006
38501,29897,10002
38501,30116,10002
50140,45796,30006
50140,14217,30006
10809,33368,60012
10809,26645,60012
47290,56905,6668
47290,3108,6668
10213,52261,60012
10213,7752,60012
26252,39066,60012
26252,20947,60012
45565,53901,60012
45565,6112,60012
43663,36637,10002
43663,23376,10002
21285,30684,15003
21285,29329,15003
56641,37153,30006
56641,22860,30006
11949,25628,30006
11949,34385,30006
56745,36275,15003
56745,23738,15003
15014,35729,15003
15014,24284,15003
675,37613,20004
675,22400,20004
39324,51412,20004
39324,8601,20004
24194,44471,6668
24194,15542,6668
51190,22704,60012
51190,37309,60012
15955,11909,30006
15955,48104,30006
26689,33832,20004
26689,26181,20004
4266,13814,20004
4266,46199,20004
45024,4502,20004
45024,55511,20004
8796,2784,6668
8796,57229,6668
51089,23177,30006
51089,36836,30006
19265,4506,5001
19265,55507,5001
19583,48176,60012
19583,11837,60012
129,9323,60012
129,50690,60012
21273,19040,60012
21273,40973,60012
52936,17798,3334
52936,42215,3334
52885,12068,30006
52885,47945,30006
18415,3938,20004
18415,56075,20004
38194,50559,10002
38194,9454,10002
2931,46382,30006
2931,13631,30006
43391,24568,30006
43391,35445,30006
3102,1016,30006
3102,58997,30006
1812,17419,60012
1812,42594,60012
6915,29447,6668
6915,30566,6668
44389,58779,20004
44389,1234,20004
33140,59606,10002
33140,407,10002
4065,51543,5001
4065,8470,5001
49019,50094,6668
49019,9919,6668
8832,21068,60012
8832,38945,60012
14618,46024,60012
14618,13989,60012
30544,5660,60012
30544,54353,60012
22774,6102,15003
22774,53911,15003
56926,29326,60012
56926,30687,60012
48114,27069,30006
48114,32944,30006
58778,20848,60012
58778,39165,60012
14206,38452,5001
14206,21561,5001
14263,9638,60012
14263,50375,60012
33905,6363,60012
33905,53650,60012
6164,56681,30006
6164,3332,30006
46644,14904,60012
46644,45109,60012
58990,1687,15003
58990,58326,15003
13772,8493,60012
13772,51520,60012
23498,48395,6668
23498,11618,6668
27146,54177,30006
27146,5836,30006
35504,46257,60012
35504,13756,60012
27494,35909,60012
27494,24104,60012
46483,59531,30006
46483,482,30006
2181,53951,6668
2181,6062,6668
17352,55519,30006
17352,4494,30006
22361,55263,60012
22361,4750,60012
38026,39441,60012
38026,20572,60012
33662,31469,60012
33662,28544,60012
43945,47168,1667
43945,12845,1667
21129,52512,15003
21129,7501,15003
22328,34053,6668
22328,25960,6668
44951,37927,10002
44951,22086,10002
22631,3874,60012
22631,56139,60012
8750,5983,20004
8750,54030,20004
59373,27270,3334
59373,32743,3334
39168,51471,6668
39168,8542,6668
47255,10575,20004
47255,49438,20004
9973,18390,30006
9973,41623,30006
52622,38768,15003
52622,21245,15003
34007,22987,20004
34007,37026,20004
25354,55275,10002
25354,4738,10002
33626,20787,20004
33626,39226,20004
14302,9667,30006
14302,50346,30006
2425,52751,10002
2425,7262,10002
45706,12316,15003
45706,47697,15003
41587,37466,6668
41587,22547,6668
14786,18748,60012
14786,41265,60012
3502,8933,30006
3502,51080,30006
5388,56578,20004
5388,3435,20004
34081,42278,6668
34081,17735,6668
424,12254,3334
424,47759,3334
54890,25258,10002
54890,34755,10002
3366,25465,20004
3366,34548,20004
7756,32769,10002
7756,27244,10002
14834,39016,20004
14834,20997,20004
48120,14493,60012
48120,45520,60012
22277,32203,5001
22277,27810,5001
45522,55363,60012
45522,4650,60012
22355,17756,60012
22355,42257,60012
16273,15052,20004
16273,44961,20004
28393,46218,20004
28393,13795,20004
12501,31340,15003
12501,28673,15003
26510,15171,5001
26510,44842,5001
28679,49145,20004
28679,10868,20004
18924,11451,60012
18924,48562,60012
31264,18063,60012
31264,41950,60012
14605,21460,15003
14605,38553,15003
43953,45359,15003
43953,14654,15003
7278,1984,10002
7278,58029,10002
8201,42861,6668
8201,17152,6668
40342,34741,60012
40342,25272,60012
14068,17669,30006
14068,42344,30006
6259,24280,60012
6259,35733,60012
56423,3301,60012
56423,56712,60012
12273,50509,30006
12273,9504,30006
11746,13619,15003
11746,46394,15003
36429,52077,6668
36429,7936,6668
12407,39173,3334
12407,20840,3334
52701,29349,6668
52701,30664,6668
4795,6588,15003
4795,53425,15003
3305,7375,6668
3305,52638,6668
51081,55483,15003
51081,4530,15003
39822,769,15003
39822,59244,15003
7798,3051,1667
7798,56962,1667
44686,43314,60012
44686,16699,60012
12270,54679,10002
12270,5334,10002
2585,54449,30006
2585,5564,30006
13162,7367,1667
13162,52646,1667
9092,26846,5001
9092,33167,5001
17114,45032,3334
17114,14981,3334
44208,58533,20004
44208,1480,20004
36037,42739,30006
36037,17274,30006
37549,18105,60012
37549,41908,60012
37812,38121,10002
37812,21892,10002
37604,47865,60012
37604,12148,60012
24980,19241,6668
24980,40772,6668
9153,57217,60012
