x,y
831,3856
831,1195
3890,4737
3890,314
2747,49
2747,5002
3880,4832
3880,219
2510,2582
2510,2469
4886,298
4886,4753
3928,762
3928,4289
4524,3856
4524,1195
1591,1558
1591,3493
1137,3036
1137,2015
3107,256
3107,4795
1286,3001
1286,2050
275,3382
275,1669
2828,747
2828,4304
3987,341
3987,4710
1988,4149
1988,902
4454,2426
4454,2625
3143,1042
3143,4009
5008,5016
5008,35
2111,3039
2111,2012
4810,2636
4810,2415
306,1968
306,3083
4987,3132
4987,1919
2265,4271
2265,780
3832,4975
3832,76
3257,3834
3257,1217
2108,130
2108,4921
3180,3735
3180,1316
4467,3025
4467,2026
2843,2607
2843,2444
204,2984
204,2067
639,3969
639,1082
4005,2238
4005,2813
1628,1493
1628,3558
2196,575
2196,4476
893,3078
893,1973
891,322
891,4729
4929,2116
4929,2935
863,2309
863,2742
4158,1918
4158,3133
1795,240
1795,4811
2900,2585
2900,2466
1763,3099
1763,1952
3992,1443
3992,3608
4990,3239
4990,1812
3951,2499
3951,2552
3209,4873
3209,178
1394,2116
1394,2935
818,3886
818,1165
641,2867
641,2184
