x,y
52623,203014
52623,929983
1029348,713227
1029348,419770
298536,328767
298536,804230
715067,561420
715067,571577
926577,1057362
926577,75635
114066,428758
114066,704239
210865,518789
210865,614208
508377,345914
508377,787083
816888,177602
816888,955395
911765,817312
911765,315685
725261,54477
725261,1078520
270301,924691
270301,208306
905583,745970
905583,387027
284339,582652
284339,550345
853500,650642
853500,482355
717322,303539
717322,829458
838903,292580
838903,840417
992325,394703
992325,738294
826643,1116126
826643,16871
1008242,252539
1008242,880458
842982,97570
842982,1035427
721004,1082919
721004,50078
379062,694311
379062,438686
491956,911216
491956,221781
995313,1127601
995313,5396
153148,653542
153148,479455
690220,1018989
690220,114008
298900,560166
298900,572831
684002,301868
684002,831129
1102842,137901
1102842,995096
979804,863130
979804,269867
233266,1020266
233266,112731
834172,195215
834172,937782
31923,544296
31923,588701
81465,601018
81465,531979
255155,135476
255155,997521
958498,419303
958498,713694
716881,235926
716881,897071
700973,155791
700973,977206
272423,246003
272423,886994
464469,318103
464469,814894
636227,999215
636227,133782
737156,179459
737156,953538
342509,71750
342509,1061247
375999,55921
375999,1077076
801305,694172
801305,438825
1004305,47527
1004305,1085470
530187,349430
530187,783567
151232,284791
151232,848206
1012873,896272
1012873,236725
522822,817760
522822,315237
396612,3191
396612,1129806
1018525,30871
1018525,1102126
622036,70838
622036,1062159
374445,237795
374445,895202
171296,106672
171296,1026325
286647,878808
286647,254189
589512,708571
589512,424426
647542,1048023
647542,84974
860879,1066507
860879,66490
167122,591316
167122,541681
300429,376614
300429,756383
815999,839062
815999,293935
511695,58502
511695,1074495
159856,992142
159856,140855
985099,1056914
985099,76083
453786,305890
453786,827107
417084,80066
417084,1052931
53735,1058646
53735,74351
398071,784521
398071,348476
645030,1008378
645030,124619
202792,466773
202792,666224
148883,455067
148883,677930
119214,727016
119214,405981
1042569,474206
1042569,658791
147520,76732
147520,1056265
63172,826989
63172,306008
44117,258087
44117,874910
901929,1118785
901929,14212
455182,389177
455182,743820
829281,592611
829281,540386
212863,741739
212863,391258
1130263,875607
1130263,257390
30516,748839
30516,384158
661633,250251
661633,882746
689744,1041020
689744,91977
551294,476197
551294,656800
208766,506637
208766,626360
24381,333195
24381,799802
1005471,955627
1005471,177370
200158,117617
200158,1015380
308649,467577
308649,665420
263180,851983
263180,281014
859394,1014803
859394,118194
745124,793309
745124,339688
1077788,738284
1077788,394713
195633,364534
195633,768463
612975,923006
612975,209991
1099192,832740
1099192,300257
597433,142746
597433,990251
883458,314743
883458,818254
539725,230570
539725,902427
1016141,654527
1016141,478470
625390,1076136
625390,56861
753958,349851
753958,783146
612850,1130225
612850,2772
419410,214040
419410,918957
238976,1088162
238976,44835
809667,543401
809667,589596
141747,948452
141747,184545
916886,378726
916886,754271
871128,903148
871128,229849
873195,1071140
873195,61857
1058831,105164
1058831,1027833
1010474,379361
1010474,753636
112656,829068
112656,303929
612738,710056
612738,422941
884061,256502
884061,876495
994055,302053
994055,830944
386406,815075
386406,317922
1029144,91476
1029144,1041521
84494,772449
84494,360548
734850,910270
734850,222727
145809,332997
145809,800000
50160,588125
50160,544872
779648,932820
779648,200177
663139,589450
663139,543547
960770,469884
960770,663113
117174,71255
117174,1061742
38243,419689
38243,713308
502991,561248
502991,571749
1005524,148221
1005524,984776
401957,1124354
401957,8643
1127063,673571
1127063,459426
499856,94296
499856,1038701
625947,934944
625947,198053
708246,265561
708246,867436
361831,647745
361831,485252
656838,393821
656838,739176
255306,865060
255306,267937
674386,1008058
674386,124939
544957,10074
544957,1122923
132797,148041
132797,984956
504336,372576
504336,760421
1015489,44058
