x,y
104762,50191
104762,80458
117153,115822
117153,14827
128974,8291
128974,122358
102829,21686
102829,108963
47035,20072
47035,110577
129191,80408
129191,50241
64636,79137
64636,51512
86542,117535
86542,13114
13789,30990
13789,99659
9830,24987
9830,105662
28247,103722
28247,26927
44598,18273
44598,112376
38068,69626
38068,61023
107201,103947
107201,26702
85965,58546
85965,72103
108666,43936
108666,86713
88535,31280
88535,99369
61830,57113
61830,73536
80643,76422
80643,54227
38,14795
38,115854
21844,98582
21844,32067
12272,40662
12272,89987
51457,105600
51457,25049
2863,36303
2863,94346
87069,73917
87069,56732
27326,126270
27326,4379
872,118936
872,11713
79150,91099
79150,39550
74419,27400
74419,103249
15050,6668
15050,123981
129766,45928
129766,84721
90082,120674
90082,9975
45698,70197
45698,60452
79008,87841
79008,42808
62572,20155
62572,110494
7002,110456
7002,20193
38454,96558
38454,34091
110530,107901
110530,22748
22662,61875
22662,68774
27062,83159
27062,47490
75820,111746
75820,18903
47824,129807
47824,842
41188,103678
41188,26971
109222,52418
109222,78231
106906,44172
106906,86477
87351,89960
87351,40689
73854,66351
73854,64298
74264,16982
74264,113667
38616,28847
38616,101802
44568,23971
44568,106678
15122,92082
15122,38567
48046,103856
48046,26793
40884,63057
40884,67592
87898,28373
87898,102276
33372,64189
33372,66460
59340,128387
59340,2262
3630,124656
3630,5993
91388,44466
91388,86183
47045,34318
47045,96331
2035,114889
2035,15760
44938,76430
44938,54219
123021,27660
123021,102989
101781,74502
101781,56147
16054,109025
16054,21624
16900,67941
16900,62708
48422,13174
48422,117475
18622,52261
18622,78388
13853,129639
13853,1010
38120,13576
38120,117073
11373,130118
11373,531
39120,34029
39120,96620
96698,71773
96698,58876
24832,130418
24832,231
119912,1657
119912,128992
8359,62143
8359,68506
102093,53269
102093,77380
5770,128415
5770,2234
34887,89404
34887,41245
126305,61284
126305,69365
2441,18562
2441,112087
38387,48397
38387,82252
129483,50279
129483,80370
92751,24497
92751,106152
10344,15913
10344,114736
17836,29748
17836,100901
104182,46341
104182,84308
55655,117615
55655,13034
107916,104475
107916,26174
75239,36976
75239,93673
95520,23295
95520,107354
37546,103072
37546,27577
68565,48311
68565,82338
7840,87033
7840,43616
48859,108449
48859,22200
75889,17718
75889,112931
4799,84635
4799,46014
37295,111147
37295,19502
7540,32803
7540,97846
90477,116860
90477,13789
61340,12029
61340,118620
101465,92090
101465,38559
43984,4554
43984,126095
14061,79565
14061,51084
29271,3114
29271,127535
56321,114888
56321,15761
123878,64383
123878,66266
105796,63740
105796,66909
58269,114107
58269,16542
18590,9507
18590,121142
76875,82455
76875,48194
4009,13188
4009,117461
36804,8183
36804,122466
28334,34854
28334,95795
20554,69657
20554,60992
43486,125859
43486,4790
48603,52732
48603,77917
128353,95314
128353,35335
114044,123709
114044,6940
97381,30976
97381,99673
127592,27240
127592,103409
49473,123930
49473,6719
85639,118437
85639,12212
124107,96909
124107,33740
72164,7436
72164,123213
89183,84968
89183,45681
82489,4603
82489,126046
26260,44528
26260,86121
71862,125049
71862,5600
39914,32173
39914,98476
125424,62036
125424,68613
67478,5565
67478,125084
71482,77084
71482,53565
68507,65630
68507,65019
19646,66498
19646,64151
8465,94707
8465,35942
22311,40951
22311,89698
65910,26022
65910,104627
44378,114255
44378,16394
130370,76294
130370,54355
20458,48413
20458,82236
90471,91040
90471,39609
10608,92717
10608,37932
52181,20742
