x,y
28959,23812
28959,23377
30995,12328
30995,34861
14067,8854
14067,38335
5168,3608
5168,43581
32231,641
32231,46548
45836,37861
45836,9328
4778,16160
4778,31029
3799,15578
3799,31611
943,37707
943,9482
12145,27983
12145,19206
17643,27814
17643,19375
31341,19050
31341,28139
32709,44486
32709,2703
28115,9430
28115,37759
26209,40554
26209,6635
28083,30590
28083,16599
37233,30216
37233,16973
44811,20159
44811,27030
22106,10691
22106,36498
25797,29383
25797,17806
24731,10770
24731,36419
18191,15213
18191,31976
6912,37586
6912,9603
16906,24540
16906,22649
34288,41931
34288,5258
32980,7112
32980,40077
40108,1895
40108,45294
34435,26551
34435,20638
40476,28281
40476,18908
19546,25772
19546,21417
6711,1468
6711,45721
44984,97
44984,47092
40067,37381
40067,9808
8150,26444
8150,20745
21753,18775
21753,28414
6774,7120
6774,40069
8222,20744
8222,26445
19188,30776
19188,16413
39659,10848
39659,36341
41293,19288
41293,27901
33874,32355
33874,14834
22942,2221
22942,44968
23075,44456
23075,2733
26158,44474
26158,2715
30188,16638
30188,30551
8995,7788
8995,39401
9042,19411
9042,27778
31827,1952
31827,45237
2406,19736
2406,27453
44771,35581
44771,11608
30206,10926
30206,36263
7184,26159
7184,21030
46703,24533
46703,22656
40277,41909
40277,5280
21457,33438
21457,13751
21698,24541
21698,22648
5455,2315
5455,44874
32139,15147
32139,32042
36606,42728
36606,4461
38711,24768
38711,22421
21405,42472
21405,4717
5724,11641
5724,35548
1847,34295
1847,12894
28237,2330
28237,44859
29686,43778
29686,3411
19079,35804
19079,11385
22582,36058
22582,11131
46988,17077
46988,30112
21660,37937
21660,9252
36734,39318
36734,7871
10655,20833
10655,26356
35461,3959
35461,43230
34658,43354
34658,3835
44565,43570
44565,3619
36161,4868
36161,42321
12987,7783
12987,39406
24786,31253
24786,15936
18393,44627
18393,2562
34955,9531
34955,37658
13159,17534
13159,29655
1067,22556
1067,24633
14777,16356
14777,30833
41906,11871
41906,35318
33841,33007
33841,14182
2728,17325
2728,29864
27533,20370
27533,26819
35681,33871
35681,13318
13410,46554
13410,635
42233,40681
42233,6508
11827,6138
11827,41051
33440,8453
33440,38736
12117,24208
12117,22981
38405,45902
38405,1287
21661,25891
21661,21298
30138,8803
30138,38386
22608,25301
22608,21888
20254,13525
20254,33664
42652,23507
42652,23682
19283,28153
19283,19036
7363,37849
7363,9340
