x,y
1060,1689
1060,188
861,155
861,1722
193,1484
193,393
81,640
81,1237
585,1867
585,10
580,1010
580,867
357,1036
357,841
239,374
239,1503
1533,1108
1533,769
1103,758
1103,1119
534,855
534,1022
1083,1192
1083,685
725,1699
725,178
1285,758
1285,1119
345,537
345,1340
1441,267
1441,1610
433,1112
433,765
753,43
753,1834
510,1273
510,604
977,1501
977,376
139,1156
139,721
1612,616
1612,1261
1842,409
1842,1468
683,123
683,1754
568,249
568,1628
575,1332
575,545
383,1714
383,163
1644,865
1644,1012
1118,1124
1118,753
1701,250
1701,1627
471,1601
471,276
1554,868
1554,1009
761,325
761,1552
881,1136
881,741
901,675
901,1202
359,1540
359,337
605,309
605,1568
875,922
875,955
1047,1192
1047,685
1697,1545
1697,332
1028,522
1028,1355
651,34
651,1843
197,1663
197,214
902,750
902,1127
1021,15
1021,1862
380,557
380,1320
1052,1778
1052,99
1022,749
1022,1128
536,91
536,1786
1202,988
1202,889
1673,1112
1673,765
1797,1091
1797,786
774,143
774,1734
1306,486
1306,1391
1674,365
1674,1512
880,1351
880,526
1802,616
1802,1261
1303,436
1303,1441
494,1546
494,331
1609,70
1609,1807
1179,1306
1179,571
1587,1334
1587,543
799,1553
799,324
407,1603
407,274
30,28
30,1849
501,977
501,900
1664,1041
1664,836
1485,503
1485,1374
1774,1376
1774,501
1756,1517
1756,360
1423,813
1423,1064
1748,967
1748,910
1678,1519
1678,358
1238,948
1238,929
1773,665
1773,1212
821,1215
821,662
377,1149
377,728
715,1599
715,278
452,717
452,1160
372,1563
372,314
1092,465
1092,1412
1463,182
1463,1695
392,438
392,1439
1444,319
1444,1558
1350,1812
1350,65
1155,674
1155,1203
121,404
121,1473
1381,973
1381,904
1361,318
1361,1559
579,1209
579,668
654,560
654,1317
1686,1493
1686,384
907,36
907,1841
182,605
182,1272
1590,688
1590,1189
306,1386
306,491
1757,1049
1757,828
250,1500
250,377
198,1495
198,382
538,1570
538,307
1305,735
1305,1142
1829,734
1829,1143
572,471
572,1406
426,309
426,1568
736,739
736,1138
972,1377
972,500
1448,876
1448,1001
1599,325
1599,1552
1263,798
1263,1079
1679,502
1679,1375
38,1065
38,812
1772,1541
1772,336
498,438
498,1439
1240,739
1240,1138
476,906
476,971
80,953
80,924
20,524
20,1353
1649,322
1649,1555
1315,158
1315,1719
1450,1663
1450,214
135,1370
135,507
1615,1660
1615,217
848,1258
848,619
1716,447
1716,1430
1205,1017
1205,860
455,674
455,1203
1639,1707
1639,170
203,1038
203,839
493,1779
493,98
23,844
23,1033
1175,249
1175,1628
256,1205
256,672
339,1835
339,42
1401,755
1401,1122
1413,1411
1413,466
208,1563
208,314
1330,1620
1330,257
1817,693
1817,1184
1392,391
1392,1486
24,1810
24,67
1503,224
1503,1653
1490,475
1490,1402
1794,524
1794,1353
446,396
446,1481
1799,650
1799,1227
66,322
66,1555
1551,569
1551,1308
999,719
999,1158
898,1377
898,500
691,641
691,1236
1414,1357
1414,520
1314,1205
1314,672
946,1239
946,638
1281,680
1281,1197
1123,111
1123,1766
347,1659
347,218
235,1797
235,80
1626,106
1626,1771
1648,1112
1648,765
449,576
449,1301
944,640
944,1237
1550,1056
1550,821
1256,780
1256,1097
1731,1782
1731,95
509,1751
509,126
431,1416
431,461
1420,1602
1420,275
815,878
815,999
462,708
462,1169
1776,43
1776,1834
1300,858
1300,1019
559,1852
559,25
52,1220
52,657
1592,35
1592,1842
1619,49
1619,1828
89,296
89,1581
1769,1462
1769,415
436,1047
436,830
1045,102
1045,1775
705,1038
705,839
349,1737
349,140
655,1618
655,259
322,1546
322,331
1313,1865
1313,12
1403,233
1403,1644
1094,130
1094,1747
1698,580
1698,1297
964,1727
964,150
1530,1765
1530,112
255,1007
255,870
615,1576
615,301
1323,1513
1323,364
1431,1256
1431,621
1685,173
1685,1704
1491,1385
1491,492
1428,459
1428,1418
1308,1532
1308,345
659,1273
659,604
562,1413
562,464
993,871
993,1006
