x,y
15743,23563
15743,16860
7048,128
7048,40295
20250,24109
20250,16314
14158,7238
14158,33185
8391,30823
8391,9600
5649,39193
5649,1230
30775,38510
30775,1913
20043,28421
20043,12002
34549,2456
34549,37967
7098,10243
7098,30180
30357,1238
30357,39185
1804,120
1804,40303
4762,31410
4762,9013
38183,30029
38183,10394
14723,7780
14723,32643
36400,14828
36400,25595
7681,15875
7681,24548
9670,24979
9670,15444
35607,12859
35607,27564
33598,40333
33598,90
25952,1724
25952,38699
18576,38332
18576,2091
9811,23690
9811,16733
4054,11652
4054,28771
19757,19893
19757,20530
26210,8798
26210,31625
17221,39855
17221,568
4848,1287
4848,39136
17030,31146
17030,9277
16707,35561
16707,4862
10023,32090
10023,8333
11730,624
11730,39799
1038,15035
1038,25388
16659,38765
16659,1658
24107,26178
24107,14245
18498,35095
18498,5328
17835,19319
17835,21104
12700,34739
12700,5684
7379,10780
7379,29643
16111,31172
16111,9251
25290,40035
25290,388
12855,885
12855,39538
11724,28147
11724,12276
25695,35719
25695,4704
24584,29091
24584,11332
23587,15791
23587,24632
32943,17990
32943,22433
30579,9631
30579,30792
23807,31939
23807,8484
16487,11899
16487,28524
718,37000
718,3423
17787,13099
17787,27324
23561,30776
23561,9647
21525,37357
21525,3066
37754,19435
37754,20988
26006,20525
26006,19898
33708,22546
33708,17877
12004,3643
12004,36780
16412,10623
16412,29800
30567,30939
30567,9484
15920,27627
15920,12796
3131,20593
3131,19830
35840,25056
35840,15367
18247,4987
18247,35436
33714,15313
33714,25110
29285,34817
29285,5606
11663,32457
11663,7966
25064,31690
25064,8733
3031,39038
3031,1385
29998,12663
29998,27760
29119,21127
29119,19296
30289,16667
30289,23756
9505,30270
9505,10153
21763,6590
21763,33833
7836,2301
7836,38122
20361,20872
20361,19551
18376,17759
18376,22664
31293,8775
31293,31648
33090,27388
33090,13035
13049,29046
13049,11377
22101,35079
22101,5344
19369,1848
19369,38575
34003,20575
34003,19848
10198,36515
10198,3908
14809,35031
14809,5392
25113,24538
25113,15885
