x,y
176115,1319957
176115,1262720
1413030,341162
1413030,2241515
330219,1821640
330219,761037
900306,1799834
900306,782843
2538395,1342785
2538395,1239892
2040555,49760
2040555,2532917
1683846,626843
1683846,1955834
1016798,1188284
1016798,1394393
2559406,1367490
2559406,1215187
1043215,1451930
1043215,1130747
1020638,1114064
1020638,1468613
475769,2200976
475769,381701
1560095,1161401
1560095,1421276
1413442,414937
1413442,2167740
1583718,563443
1583718,2019234
260842,1222188
260842,1360489
1533637,2524545
1533637,58132
166607,1403085
166607,1179592
2063911,1588517
2063911,994160
1640555,1945429
1640555,637248
1762219,1826997
1762219,755680
1506414,1134010
1506414,1448667
828739,2146881
828739,435796
678764,1508498
678764,1074179
323471,2473609
323471,109068
439491,928510
439491,1654167
657778,951012
657778,1631665
1624619,478022
1624619,2104655
1018484,253127
1018484,2329550
556451,2220301
556451,362376
764371,227365
764371,2355312
836635,2496127
836635,86550
1992027,264014
1992027,2318663
675461,614616
675461,1968061
84365,54639
84365,2528038
232794,1824123
232794,758554
796977,205167
796977,2377510
2344582,1603880
2344582,978797
1047253,2489952
1047253,92725
1177769,184913
1177769,2397764
1732159,2418944
1732159,163733
1687194,1214672
1687194,1368005
1245789,1551168
1245789,1031509
1645301,1410720
1645301,1171957
2004775,255070
2004775,2327607
2432279,820917
2432279,1761760
2130202,1126965
2130202,1455712
469962,1567874
469962,1014803
31906,1743381
31906,839296
694349,2521376
694349,61301
