x,y
7580,1594
7580,10309
5029,4117
5029,7786
10455,6287
10455,5616
7851,5567
7851,6336
5202,5225
5202,6678
4464,7055
4464,4848
9897,8163
9897,3740
8742,8052
8742,3851
66,2239
66,9664
8458,852
8458,11051
743,7045
743,4858
8621,9253
8621,2650
7964,8571
7964,3332
970,598
970,11305
4446,1035
4446,10868
4122,8451
4122,3452
3776,65
3776,11838
2560,2247
2560,9656
7298,3750
7298,8153
2556,10508
2556,1395
2267,785
2267,11118
11658,9455
11658,2448
2705,5741
2705,6162
11326,8903
11326,3000
3598,1545
3598,10358
3538,10050
3538,1853
3034,748
3034,11155
3145,4844
3145,7059
10328,11447
10328,456
1579,10323
1579,1580
2706,4582
2706,7321
2587,3263
2587,8640
9451,9377
9451,2526
9827,9095
9827,2808
1605,9110
1605,2793
6753,10805
6753,1098
3834,530
3834,11373
4574,10968
4574,935
3469,9763
3469,2140
6844,7520
6844,4383
1998,10425
1998,1478
7221,1893
7221,10010
8699,3465
8699,8438
3814,5674
3814,6229
1266,3462
1266,8441
1924,7058
1924,4845
4923,9758
4923,2145
5914,9583
5914,2320
9680,1773
9680,10130
11443,7097
11443,4806
