x,y
782281,134854
782281,924895
558331,1047171
558331,12578
756995,594371
756995,465378
523185,49071
523185,1010678
296162,1053614
296162,6135
26123,122516
26123,937233
744649,411789
744649,647960
290812,598970
290812,460779
478493,597634
478493,462115
794318,947510
794318,112239
329621,452590
329621,607159
983273,94299
983273,965450
511803,540381
511803,519368
807603,648236
807603,411513
105950,524242
105950,535507
689724,60708
689724,999041
1040789,687965
1040789,371784
593429,697136
593429,362613
751460,538047
751460,521702
977087,93771
977087,965978
404572,489307
404572,570442
702043,695614
702043,364135
412839,703960
412839,355789
441183,323286
441183,736463
117703,783407
117703,276342
767742,541301
767742,518448
412257,530348
412257,529401
885142,616678
885142,443071
918047,783670
918047,276079
158656,161633
158656,898116
93880,522177
93880,537572
870190,420825
870190,638924
245765,465085
245765,594664
994321,248563
994321,811186
570485,443075
570485,616674
842810,724193
842810,335556
954668,85985
954668,973764
16692,331147
16692,728602
162975,879002
162975,180747
988558,557290
988558,502459
603359,610076
603359,449673
666139,423064
666139,636685
792660,437462
792660,622287
374984,216895
374984,842854
44097,216387
44097,843362
80540,705542
80540,354207
771291,838325
771291,221424
97502,1020453
97502,39296
855521,112467
855521,947282
528376,58930
528376,1000819
1006296,1038647
1006296,21102
193346,931802
193346,127947
989900,805002
989900,254747
1027170,813418
1027170,246331
903888,745937
903888,313812
891186,763650
891186,296099
48972,765932
48972,293817
899778,60995
899778,998754
323573,301673
323573,758076
267395,424322
267395,635427
579889,793928
579889,265821
652260,619246
652260,440503
723709,86085
723709,973664
971300,963264
971300,96485
686649,4858
686649,1054891
505787,229154
505787,830595
461628,227805
461628,831944
751929,698478
751929,361271
672381,558853
672381,500896
983631,91650
983631,968099
324302,154513
324302,905236
252458,1046757
252458,12992
652074,967297
652074,92452
1025971,1023995
1025971,35754
607547,1006443
607547,53306
71174,475427
71174,584322
936067,93983
936067,965766
1009262,389243
1009262,670506
873776,156754
873776,902995
691080,15283
691080,1044466
106557,605652
106557,454097
460238,623043
460238,436706
762956,64586
762956,995163
259285,1027633
259285,32116
482783,580693
482783,479056
716143,370841
716143,688908
642849,743940
642849,315809
158528,1040379
158528,19370
670942,606049
670942,453700
273611,737044
273611,322705
354899,357735
354899,702014
896836,138220
896836,921529
841334,815758
841334,243991
969775,655050
969775,404699
373425,77682
