x,y
541,493
541,184
158,621
158,56
326,402
326,275
458,214
458,463
232,382
232,295
548,132
548,545
205,583
205,94
194,146
194,531
100,48
100,629
165,609
165,68
381,415
381,262
198,454
198,223
260,141
260,536
46,36
46,641
320,503
320,174
473,177
473,500
338,556
338,121
196,61
196,616
280,502
280,175
443,602
443,75
163,485
163,192
572,341
572,336
308,544
308,133
376,38
376,639
137,362
137,315
185,673
185,4
19,444
19,233
108,255
108,422
309,203
309,474
561,6
561,671
213,225
213,452
195,525
195,152
226,322
226,355
74,334
74,343
269,280
269,397
255,98
255,579
216,454
216,223
237,1
237,676
233,74
233,603
463,527
463,150
447,246
447,431
128,8
128,669
311,524
311,153
614,204
614,473
122,257
122,420
172,206
172,471
98,601
98,76
617,100
617,577
182,102
182,575
221,541
221,136
