x,y,Ordre
1047346,3472844,6482121
1047346,3009909,6482121
5073821,6222696,6482121
5073821,260057,6482121
3272239,3067806,6482121
3272239,3414947,6482121
5065234,3502675,6482121
5065234,2980078,6482121
17930,800169,6482121
17930,5682584,6482121
3653586,669776,6482121
3653586,5812977,6482121
3380267,2239638,6482121
3380267,4243115,6482121
5752469,4850815,6482121
5752469,1631938,6482121
5438782,3303369,6482121
5438782,3179384,6482121
3831631,4310790,6482121
3831631,2171963,6482121
605058,2835437,6482121
605058,3647316,6482121
5925113,3647736,6482121
5925113,2835017,6482121
4854043,1867796,6482121
4854043,4614957,6482121
4518125,6112797,6482121
4518125,369956,6482121
1036506,2382138,6482121
1036506,4100615,6482121
2045620,5606459,6482121
2045620,876294,6482121
3154223,1263577,6482121
3154223,5219176,6482121
5191609,4352518,6482121
5191609,2130235,6482121
204961,4413396,6482121
204961,2069357,6482121
4866729,1932609,6482121
4866729,4550144,6482121
2704175,5531014,6482121
2704175,951739,6482121
3157714,4442780,6482121
3157714,2039973,6482121
4434599,4035431,6482121
4434599,2447322,6482121
1430104,100593,6482121
1430104,6382160,6482121
3552040,5997498,6482121
3552040,485255,6482121
1007247,5795763,6482121
1007247,686990,6482121
1091339,2075574,6482121
1091339,4407179,6482121
1261189,5505012,6482121
1261189,977741,6482121
5359507,5438530,6482121
5359507,1044223,6482121
116709,6397974,6482121
116709,84779,6482121
4115018,768118,6482121
4115018,5714635,6482121
6078590,4076357,6482121
6078590,2406396,6482121
2092154,2701337,6482121
2092154,3781416,6482121
826030,1977944,6482121
826030,4504809,6482121
6412465,234415,6482121
6412465,6248338,6482121
997777,437456,6482121
997777,6045297,6482121
5091309,844167,6482121
5091309,5638586,6482121
5643957,2678255,6482121
5643957,3804498,6482121
4069663,2958680,6482121
4069663,3524073,6482121
5544312,1167476,6482121
5544312,5315277,6482121
4939548,3550866,6482121
4939548,2931887,6482121
1320832,2144381,6482121
1320832,4338372,6482121
6186561,1638469,6482121
6186561,4844284,6482121
2426224,83811,6482121
2426224,6398942,6482121
159829,3213300,6482121
159829,3269453,6482121
384013,5708223,6482121
384013,774530,6482121
6355295,4334435,6482121
6355295,2148318,6482121
3722817,829131,6482121
