x,y,Ordre
33024,22548,1391
33024,27445,1391
40015,18820,25038
40015,31173,25038
37552,31001,12519
37552,18992,12519
17510,11911,50076
17510,38082,50076
7983,47910,1284
7983,2083,1284
7828,4854,50076
7828,45139,50076
48506,46401,25038
48506,3592,25038
5479,16669,16692
5479,33324,16692
11801,41895,25038
11801,8098,25038
35672,19515,25038
35672,30478,25038
28137,31335,3852
28137,18658,3852
20244,48205,16692
20244,1788,16692
22283,21502,25038
22283,28491,25038
47875,5878,50076
47875,44115,50076
2555,14762,50076
2555,35231,50076
42174,12464,50076
42174,37529,50076
298,40723,50076
298,9270,50076
15572,45147,12519
15572,4846,12519
5334,10913,50076
5334,39080,50076
41888,1242,50076
41888,48751,50076
14417,34837,25038
14417,15156,25038
39051,2034,2782
39051,47959,2782
6825,15178,4173
6825,34815,4173
36717,40437,3852
36717,9556,3852
13697,36781,3852
13697,13212,3852
9803,31608,8346
9803,18385,8346
10149,30483,1391
10149,19510,1391
12669,10591,12519
12669,39402,12519
14197,35475,12519
14197,14518,12519
11646,2937,12519
11646,47056,12519
49177,517,50076
49177,49476,50076
25183,10908,321
25183,39085,321
8598,13429,50076
8598,36564,50076
6466,48498,4173
6466,1495,4173
26066,3747,50076
26066,46246,50076
11973,49290,25038
11973,703,25038
18933,10188,50076
18933,39805,50076
4573,23190,50076
4573,26803,50076
13297,41301,16692
13297,8692,16692
3989,4326,12519
3989,45667,12519
17755,23455,5564
17755,26538,5564
20207,43771,16692
20207,6222,16692
40753,42976,50076
40753,7017,50076
10518,28809,12519
10518,21184,12519
41052,14571,8346
41052,35422,8346
22035,10819,50076
22035,39174,50076
39940,32942,50076
39940,17051,50076
33010,25996,12519
33010,23997,12519
14387,41594,25038
14387,8399,25038
5843,29468,50076
5843,20525,50076
36063,45399,5564
36063,4594,5564
49873,8520,50076
49873,41473,50076
5093,13649,234
5093,36344,234
19285,23935,4173
19285,26058,4173
11138,39324,50076
11138,10669,50076
21887,36613,12519
21887,13380,12519
35787,47814,50076
35787,2179,50076
13477,34127,39
13477,15866,39
21391,27369,50076
21391,22624,50076
24510,39098,12519
24510,10895,12519
21378,1957,428
21378,48036,428
36037,27694,50076
36037,22299,50076
42090,36184,50076
42090,13809,50076
11749,4730,12519
11749,45263,12519
44157,359,25038
44157,49634,25038
44890,31882,50076
44890,18111,50076
37360,22910,50076
37360,27083,50076
9543,38569,50076
9543,11424,50076
37358,25112,50076
37358,24881,50076
43121,43011,25038
43121,6982,25038
12804,7489,50076
12804,42504,50076
23042,29154,50076
23042,20839,50076
6881,2761,50076
6881,47232,50076
34697,10832,3852
34697,39161,3852
21945,26230,8346
21945,23763,8346
16965,11747,16692
16965,38246,16692
2039,4581,25038
2039,45412,25038
685,7183,50076
685,42810,50076
28819,29450,50076
28819,20543,50076
40867,5955,25038
40867,44038,25038
6926,33556,3852
6926,16437,3852
23129,40893,4173
23129,9100,4173
43321,18956,50076
43321,31037,50076
33451,13890,5564
33451,36103,5564
26027,23207,50076
26027,26786,50076
23999,26917,5564
23999,23076,5564
30529,24491,50076
30529,25502,50076
9965,40255,3852
9965,9738,3852
41747,49230,12519
41747,763,12519
36921,16383,12519
36921,33610,12519
26204,11015,2782
26204,38978,2782
24034,35540,3852
24034,14453,3852
8399,29641,50076
8399,20352,50076
37692,4122,16692
37692,45871,16692
30628,21897,50076
30628,28096,50076
43654,4350,5564
43654,45643,5564
33206,37450,25038
33206,12543,25038
48976,17580,50076
48976,32413,50076
31487,14436,8346
31487,35557,8346
47577,35315,50076
47577,14678,50076
29154,31268,5564
29154,18725,5564
34413,25099,2782
34413,24894,2782
47338,4209,16692
47338,45784,16692
11700,10038,4173
11700,39955,4173
30204,48197,50076
30204,1796,50076
49921,43041,50076
49921,6952,50076
34080,39470,50076
34080,10523,50076
24450,48146,50076
24450,1847,50076
26846,27733,12519
26846,22260,12519
33525,29955,4173
33525,20038,4173
40434,28528,50076
40434,21465,50076
154,43829,16692
154,6164,16692
11275,28826,16692
11275,21167,16692
20555,21919,50076
20555,28074,50076
17806,33863,50076
17806,16130,50076
10001,32659,50076
10001,17334,50076
8441,27754,1926
8441,22239,1926
33994,37653,16692
33994,12340,16692
9695,9624,1391
9695,40369,1391
9134,44525,12519
9134,5468,12519
3062,20147,50076
3062,29846,50076
30548,23107,50076
30548,26886,50076
47664,26295,12519
47664,23698,12519
24864,33996,25038
24864,15997,25038
21862,49321,12519
21862,672,12519
38826,11569,16692
38826,38424,16692
14606,31756,5564
14606,18237,5564
13875,19824,50076
13875,30169,50076
17869,19869,16692
17869,30124,16692
47977,22577,50076
47977,27416,50076
11116,24890,16692
11116,25103,16692
19400,21166,8346
19400,28827,8346
30972,46249,12519
30972,3744,12519
38143,41252,12519
38143,8741,12519
18369,25290,5564
18369,24703,5564
44325,14000,16692
44325,35993,16692
6006,13995,25038
6006,35998,25038
43529,29113,2782
43529,20880,2782
38900,40726,25038
38900,9267,25038
36304,43853,50076
36304,6140,50076
5736,25757,16692
5736,24236,16692
19694,37812,107
19694,12181,107
44713,35408,8346
44713,14585,8346
19163,33799,25038
19163,16194,25038
4092,3890,50076
4092,46103,50076
21352,49195,50076
21352,798,50076
4454,18168,4173
4454,31825,4173
48162,12957,50076
48162,37036,50076
43998,18088,4173
43998,31905,4173
41014,34612,5564
41014,15381,5564
14315,38247,50076
14315,11746,50076
36169,1079,12519
36169,48914,12519
6311,33539,428
6311,16454,428
15829,7350,50076
15829,42643,50076
11589,39800,50076
11589,10193,50076
40011,30941,12519
40011,19052,12519
45708,19409,50076
45708,30584,50076
36404,45797,25038
36404,4196,25038
14013,2884,50076
14013,47109,50076
39099,9975,2782
39099,40018,2782
5058,32707,50076
5058,17286,50076
46135,29302,50076
46135,20691,50076
27994,41333,50076
27994,8660,50076
25603,6368,50076
25603,43625,50076
5547,17897,50076
5547,32096,50076
13863,11361,963
13863,38632,963
20440,8863,8346
20440,41130,8346
43196,44326,50076
43196,5667,50076
9584,22134,12519
9584,27859,12519
34910,36584,50076
34910,13409,50076
25432,39871,50076
25432,10122,50076
9269,3810,50076
9269,46183,50076
8835,5931,12519
8835,44062,12519
18698,8272,50076
18698,41721,50076
15609,2637,50076
15609,47356,50076
6216,23508,50076
6216,26485,50076
24503,32381,4173
24503,17612,4173
45195,561,25038
45195,49432,25038
47534,31264,50076
47534,18729,50076
31065,18663,4173
31065,31330,4173
7526,40968,12519
7526,9025,12519
647,29248,25038
647,20745,25038
31201,7268,3852
31201,42725,3852
16466,11358,50076
16466,38635,50076
23664,20504,963
23664,29489,963
32212,3029,50076
32212,46964,50076
20754,426,8346
20754,49567,8346
28691,40488,2782
28691,9505,2782
17097,47796,50076
17097,2197,50076
46747,29983,50076
46747,20010,50076
48438,43774,16692
48438,6219,16692
33917,37208,50076
33917,12785,50076
32524,29164,16692
32524,20829,16692
8633,14292,16692
8633,35701,16692
43356,40066,5564
43356,9927,5564
46187,47082,50076
46187,2911,50076
2740,9078,25038
2740,40915,25038
41856,31722,50076
41856,18271,50076
12010,30230,8346
12010,19763,8346
31761,13087,50076
31761,36906,50076
11910,38793,50076
11910,11200,50076
17106,43898,25038
17106,6095,25038
49126,3535,25038
49126,46458,25038
13192,37006,25038
13192,12987,25038
30828,10990,12519
30828,39003,12519
40819,47753,25038
40819,2240,25038
46413,26305,25038
46413,23688,25038
45561,4259,4173
45561,45734,4173
43648,4438,12519
43648,45555,12519
39194,19219,12519
39194,30774,12519
13311,34640,50076
13311,15353,50076
41627,584,12519
41627,49409,12519
324,5650,4173
324,44343,4173
36156,24035,16692
36156,25958,16692
20809,20897,50076
20809,29096,50076
28501,33743,25038
28501,16250,25038
33029,15136,25038
33029,34857,25038
42403,656,25038
42403,49337,25038
16300,20216,50076
16300,29777,50076
25115,2745,4173
25115,47248,4173
7858,45046,12519
7858,4947,12519
21053,23229,16692
21053,26764,16692
44735,11018,50076
44735,38975,50076
17004,5993,963
17004,44000,963
40346,14749,5564
40346,35244,5564
30604,43458,156
30604,6535,156
44359,45947,25038
44359,4046,25038
25804,11139,50076
25804,38854,50076
43368,9504,25038
43368,40489,25038
17741,27994,8346
17741,21999,8346
16577,5248,50076
16577,44745,50076
47544,36953,50076
47544,13040,50076
5141,2064,50076
5141,47929,50076
19815,16832,25038
19815,33161,25038
30959,43486,25038
30959,6507,25038
11020,34335,50076
11020,15658,50076
40566,35658,50076
40566,14335,50076
1158,31804,50076
1158,18189,50076
8874,1310,4173
8874,48683,4173
23117,28236,25038
23117,21757,25038
10308,5808,25038
10308,44185,25038
37216,24668,16692
37216,25325,16692
18886,16071,50076
18886,33922,50076
46321,20870,25038
46321,29123,25038
46836,13989,25038
46836,36004,25038
24912,4194,2782
24912,45799,2782
44633,45287,12519
44633,4706,12519
39916,13962,12519
39916,36031,12519
27950,12274,8346
27950,37719,8346
15562,20872,50076
15562,29121,50076
22210,10074,25038
22210,39919,25038
44443,34129,12519
44443,15864,12519
28448,49379,12519
28448,614,12519
36408,29643,50076
36408,20350,50076
9015,13596,642
9015,36397,642
25544,26619,50076
25544,23374,50076
845,3415,1391
845,46578,1391
11935,12224,5564
11935,37769,5564
4049,15308,12519
4049,34685,12519
15837,43208,963
15837,6785,963
10118,39851,16692
10118,10142,16692
13275,2633,16692
13275,47360,16692
37289,48650,50076
37289,1343,50076
47099,38569,8346
47099,11424,8346
2703,15031,8346
2703,34962,8346
2324,8644,50076
2324,41349,50076
10575,39757,234
10575,10236,234
15883,7194,12519
15883,42799,12519
46986,28946,12519
46986,21047,12519
36975,17645,2782
36975,32348,2782
23575,18766,16692
23575,31227,16692
19443,15494,50076
19443,34499,50076
8992,16986,12519
8992,33007,12519
9489,19820,50076
9489,30173,50076
28072,27259,25038
28072,22734,25038
17390,35738,50076
17390,14255,50076
29152,20695,4173
29152,29298,4173
9126,25611,50076
9126,24382,50076
49571,35891,2782
49571,14102,2782
16651,11551,25038
16651,38442,25038
16416,40618,12519
16416,9375,12519
3267,11539,50076
3267,38454,50076
31365,31868,963
31365,18125,963
33082,28584,16692
33082,21409,16692
12181,18582,4173
12181,31411,4173
33908,31310,25038
33908,18683,25038
11443,20773,25038
11443,29220,25038
15707,13151,12519
15707,36842,12519
33251,44782,16692
33251,5211,16692
47098,21495,16692
47098,28498,16692
13570,30403,3852
13570,19590,3852
34358,39621,50076
34358,10372,50076
13583,45113,16692
13583,4880,16692
15246,6899,25038
15246,43094,25038
25634,10896,12519
25634,39097,12519
3176,28269,50076
3176,21724,50076
46354,14130,50076
46354,35863,50076
6608,27940,12519
6608,22053,12519
43902,47244,25038
43902,2749,25038
31037,2511,4173
31037,47482,4173
17300,14660,12519
17300,35333,12519
36316,3335,16692
36316,46658,16692
21948,44042,50076
21948,5951,50076
25114,32079,50076
25114,17914,50076
16471,7395,50076
16471,42598,50076
11362,43282,25038
11362,6711,25038
24567,12145,13
24567,37848,13
23692,4917,50076
23692,45076,50076
35363,10265,50076
35363,39728,50076
11809,49718,16692
11809,275,16692
15077,25022,12519
15077,24971,12519
30462,46633,12519
30462,3360,12519
40893,17165,50076
40893,32828,50076
2211,21000,16692
2211,28993,16692
19283,29614,25038
19283,20379,25038
20663,44094,25038
20663,5899,25038
49720,10885,50076
49720,39108,50076
40773,35558,25038
40773,14435,25038
13185,1479,50076
13185,48514,50076
7773,1419,16692
7773,48574,16692
45981,44956,50076
45981,5037,50076
46081,39665,12519
46081,10328,12519
7990,11977,12519
7990,38016,12519
15506,42991,16692
15506,7002,16692
34166,22353,4173
34166,27640,4173
41123,42202,25038
41123,7791,25038
5932,17287,5564
5932,32706,5564
48214,44333,16692
48214,5660,16692
5451,36850,4173
5451,13143,4173
136,41365,50076
136,8628,50076
6813,29021,234
6813,20972,234
1508,5658,5564
1508,44335,5564
10189,38971,3852
10189,11022,3852
12043,25419,16692
12043,24574,16692
32701,2173,50076
32701,47820,50076
39467,26765,12519
39467,23228,12519
46034,17840,16692
46034,32153,16692
31907,36200,12519
31907,13793,12519
38753,3486,468
38753,46507,468
44080,22813,50076
44080,27180,50076
49512,19703,50076
49512,30290,50076
30591,36360,50076
30591,13633,50076
47170,35791,25038
47170,14202,25038
19091,46048,50076
19091,3945,50076
26008,2687,50076
26008,47306,50076
39087,24794,468
39087,25199,468
22435,12154,50076
22435,37839,50076
43469,15137,50076
43469,34856,50076
47249,18846,468
47249,31147,468
