x,y
5619359,5799018
5619359,11975
4137390,578041
4137390,5232952
455579,3687020
455579,2123973
573890,5461202
573890,349791
3030862,2656128
3030862,3154865
2730646,1583178
2730646,4227815
4009416,5015792
4009416,795201
2256334,3638253
2256334,2172740
5469068,1769946
5469068,4041047
2015839,1126487
2015839,4684506
4172766,1472790
4172766,4338203
893865,4300246
893865,1510747
1914594,5335390
1914594,475603
4971815,3136271
4971815,2674722
2956785,186087
2956785,5624906
3766012,5796277
3766012,14716
758623,3694979
758623,2116014
414139,2366928
414139,3444065
4040447,161411
4040447,5649582
2194622,5605278
2194622,205715
871142,59960
871142,5751033
5666774,4488250
5666774,1322743
1857678,5733157
1857678,77836
3529790,4034001
3529790,1776992
4729991,5698534
4729991,112459
3740456,1260134
3740456,4550859
3295454,1885296
3295454,3925697
3421292,1972441
3421292,3838552
3933047,4476188
3933047,1334805
5515246,2427596
5515246,3383397
2373392,1648026
2373392,4162967
1617782,4969488
1617782,841505
4027570,1104730
4027570,4706263
1142714,2132656
1142714,3678337
190635,323776
190635,5487217
1177575,3251889
1177575,2559104
2414602,2237300
2414602,3573693
486870,3138613
486870,2672380
3721132,3563924
3721132,2247069
1898327,1676144
1898327,4134849
2365880,2880703
2365880,2930290
3370926,3276217
3370926,2534776
1519714,4470873
1519714,1340120
4579339,206365
4579339,5604628
2839656,2198986
2839656,3612007
2257895,2933658
2257895,2877335
4655354,2454034
4655354,3356959
3237978,1583874
3237978,4227119
2287883,2248203
2287883,3562790
5767514,2387084
5767514,3423909
15096,481647
15096,5329346
4763942,5626100
4763942,184893
5763851,5419479
5763851,391514
3268104,1156727
3268104,4654266
3590977,3738744
3590977,2072249
1559287,786736
1559287,5024257
2607438,5340476
2607438,470517
3352227,5418156
3352227,392837
1225903,2670959
1225903,3140034
4403142,4238747
4403142,1572246
1357533,1124428
1357533,4686565
2600739,1416345
2600739,4394648
3004552,2610831
3004552,3200162
666332,5397937
666332,413056
1597155,1900413
1597155,3910580
4616676,4466756
4616676,1344237
4100625,5656418
4100625,154575
2673242,1587295
2673242,4223698
889589,3423940
889589,2387053
2385393,337599
2385393,5473394
4179950,750920
4179950,5060073
2583496,1714751
2583496,4096242
5548394,665393
5548394,5145600
3089694,3850487
