x,y,Ordre
14572393,62951144,87248034
14572393,24297623,87248034
27723656,85986205,87248034
27723656,1262562,87248034
83364619,24348437,87248034
83364619,62900330,87248034
79356962,57039500,87248034
79356962,30209267,87248034
51519757,51544687,87248034
51519757,35704080,87248034
25420791,54409068,87248034
25420791,32839699,87248034
51881910,9724536,87248034
51881910,77524231,87248034
26128234,53497028,87248034
26128234,33751739,87248034
73874398,5535448,87248034
73874398,81713319,87248034
84260769,70020312,87248034
84260769,17228455,87248034
34658149,61479023,87248034
34658149,25769744,87248034
27758565,61468887,87248034
27758565,25779880,87248034
34578830,16641171,87248034
34578830,70607596,87248034
6960279,79845024,87248034
6960279,7403743,87248034
2567487,61701154,87248034
2567487,25547613,87248034
29430111,42203814,87248034
29430111,45044953,87248034
16702211,41476193,87248034
16702211,45772574,87248034
6215407,45703772,87248034
6215407,41544995,87248034
39658447,55297270,87248034
39658447,31951497,87248034
16304804,63648848,87248034
16304804,23599919,87248034
55390576,64441389,87248034
55390576,22807378,87248034
16888133,17081232,87248034
16888133,70167535,87248034
13092751,76117944,87248034
13092751,11130823,87248034
9790645,58134076,87248034
9790645,29114691,87248034
72405753,72590975,87248034
72405753,14657792,87248034
84183703,74944908,87248034
84183703,12303859,87248034
56277852,44409952,87248034
56277852,42838815,87248034
8998254,85804725,87248034
8998254,1444042,87248034
40345479,51748796,87248034
40345479,35499971,87248034
28031322,14813391,87248034
28031322,72435376,87248034
60605628,20664581,87248034
60605628,66584186,87248034
13814513,85902831,87248034
13814513,1345936,87248034
32894377,18322333,87248034
32894377,68926434,87248034
63842699,86206991,87248034
63842699,1041776,87248034
41820895,8501270,87248034
41820895,78747497,87248034
70863969,59968930,87248034
70863969,27279837,87248034
38966315,20812484,87248034
38966315,66436283,87248034
33983797,73983854,87248034
33983797,13264913,87248034
34062008,59704970,87248034
34062008,27543797,87248034
67106203,27652120,87248034
67106203,59596647,87248034
32671181,55636636,87248034
32671181,31612131,87248034
27799843,48704037,87248034
27799843,38544730,87248034
38775135,12074262,87248034
38775135,75174505,87248034
24464653,72125938,87248034
24464653,15122829,87248034
12925195,50013804,87248034
12925195,37234963,87248034
79225823,42808208,87248034
79225823,44440559,87248034
18583152,75920822,87248034
18583152,11327945,87248034
6446304,24146926,87248034
6446304,63101841,87248034
18397619,5434129,87248034
18397619,81814638,87248034
47321635,63602052,87248034
47321635,23646715,87248034
43975009,79810662,87248034
43975009,7438105,87248034
54065396,74082692,87248034
54065396,13166075,87248034
1185849,81063348,87248034
1185849,6185419,87248034
13515833,45734457,87248034
13515833,41514310,87248034
23687344,1246291,87248034
23687344,86002476,87248034
33758127,1930403,87248034
33758127,85318364,87248034
9213451,8354142,87248034
9213451,78894625,87248034
42928467,74585397,87248034
42928467,12663370,87248034
1925648,34598709,87248034
1925648,52650058,87248034
1722946,73809690,87248034
1722946,13439077,87248034
81593489,63536895,87248034
81593489,23711872,87248034
71519239,22148986,87248034
71519239,65099781,87248034
6508939,34581075,87248034
6508939,52667692,87248034
21798046,3888399,87248034
21798046,83360368,87248034
35996675,80682024,87248034
35996675,6566743,87248034
23456674,67988723,87248034
23456674,19260044,87248034
2963278,18146868,87248034
2963278,69101899,87248034
38601702,33107083,87248034
38601702,54141684,87248034
47832455,47883866,87248034
47832455,39364901,87248034
58709350,75304746,87248034
58709350,11944021,87248034
61377584,57915799,87248034
61377584,29332968,87248034
21098467,9670623,87248034
21098467,77578144,87248034
14408040,7755636,87248034
14408040,79493131,87248034
52976612,33210144,87248034
52976612,54038623,87248034
65086604,70304970,87248034
65086604,16943797,87248034
12290312,34431402,87248034
12290312,52817365,87248034
72756145,40759171,87248034
72756145,46489596,87248034
4438053,324598,87248034
4438053,86924169,87248034
50722636,10399094,87248034
50722636,76849673,87248034
10773679,34856767,87248034
