x,y
592,584
592,915
469,971
469,528
651,935
651,564
832,1310
832,189
308,1403
308,96
1042,316
1042,1183
923,124
923,1375
826,243
826,1256
528,786
528,713
514,1441
514,58
918,1320
918,179
703,1178
703,321
1178,802
1178,697
889,669
889,830
546,403
546,1096
160,562
160,937
948,922
948,577
1492,1162
1492,337
829,1271
829,228
702,1459
702,40
1048,253
1048,1246
256,316
256,1183
1278,783
1278,716
269,677
269,822
175,645
175,854
200,803
200,696
271,1426
271,73
1197,1155
1197,344
281,552
281,947
1147,635
1147,864
1150,231
1150,1268
1303,211
1303,1288
1302,405
1302,1094
147,161
147,1338
1134,993
1134,506
111,1055
111,444
255,1326
255,173
495,1423
495,76
28,1467
28,32
1037,630
1037,869
584,1314
584,185
203,964
203,535
709,3
709,1496
2,908
2,591
760,387
760,1112
654,807
654,692
1275,777
1275,722
1365,1467
1365,32
1082,9
1082,1490
351,172
351,1327
118,1441
118,58
951,698
951,801
637,962
637,537
62,1359
62,140
1002,873
1002,626
1257,408
1257,1091
1482,253
1482,1246
1341,264
1341,1235
230,674
230,825
932,327
932,1172
1288,485
1288,1014
562,1462
562,37
887,1381
887,118
834,836
834,663
463,457
463,1042
1413,1060
1413,439
77,1205
77,294
1072,1223
1072,276
1431,634
1431,865
897,470
897,1029
845,1143
845,356
370,411
370,1088
780,877
780,622
1247,1134
1247,365
901,585
901,914
1184,1324
1184,175
381,1
381,1498
1060,1070
1060,429
1118,981
1118,518
552,1103
552,396
1122,387
1122,1112
626,1318
626,181
931,348
931,1151
903,415
903,1084
917,1392
917,107
116,1083
116,416
377,1049
377,450
1032,1415
1032,84
733,837
733,662
950,781
950,718
501,1075
501,424
493,9
493,1490
141,749
141,750
1417,950
1417,549
648,1401
648,98
751,1207
751,292
259,1466
259,33
743,1299
743,200
835,675
835,824
326,1334
326,165
1171,841
1171,658
971,346
971,1153
456,760
456,739
875,980
875,519
872,631
872,868
1361,1469
1361,30
701,399
701,1100
937,331
937,1168
407,1367
407,132
340,49
340,1450
239,100
239,1399
1026,877
1026,622
664,408
664,1091
656,138
656,1361
431,1107
431,392
68,1423
68,76
215,1455
215,44
819,1056
819,443
617,1428
617,71
356,1388
356,111
1185,1475
1185,24
602,1392
602,107
1359,627
1359,872
416,34
416,1465
242,675
242,824
910,145
910,1354
1343,1039
1343,460
1255,703
1255,796
249,1076
249,423
423,399
423,1100
1107,79
1107,1420
1138,1218
1138,281
1046,1041
1046,458
1183,1395
1183,104
65,452
65,1047
684,669
684,830
1109,531
1109,968
784,1060
784,439
953,352
953,1147
5,961
5,538
404,227
404,1272
1453,3
1453,1496
1415,467
1415,1032
83,1232
83,267
954,511
954,988
229,1200
229,299
653,127
653,1372
413,1161
413,338
781,80
781,1419
331,926
331,573
1158,1247
1158,252
696,177
696,1322
1460,81
1460,1418
1469,1212
1469,287
805,1393
805,106
107,1475
107,24
85,993
85,506
1200,997
1200,502
408,642
408,857
464,743
464,756
1100,75
1100,1424
167,1206
167,293
596,1189
596,310
1263,417
1263,1082
348,1308
348,191
420,1055
420,444
63,94
63,1405
807,977
807,522
725,691
725,808
667,975
667,524
1493,1306
1493,193
103,1189
103,310
591,1293
591,206
1237,369
1237,1130
1043,1271
1043,228
647,327
647,1172
1477,488
1477,1011
1180,1326
1180,173
1163,134
1163,1365
1242,840
1242,659
1367,1050
1367,449
95,123
95,1376
1486,113
1486,1386
1144,840
1144,659
244,759
244,740
366,728
366,771
1393,378
1393,1121
424,15
424,1484
1081,844
1081,655
333,568
333,931
801,1060
801,439
395,137
395,1362
128,939
128,560
1428,209
1428,1290
570,1283
570,216
524,412
524,1087
886,523
886,976
786,997
786,502
1271,1116
1271,383
855,195
855,1304
