x,y
3325,909
3325,6038
5743,1827
5743,5120
209,4371
209,2576
6865,4216
6865,2731
3895,5809
3895,1138
61,3029
61,3918
5847,4463
5847,2484
5639,3431
5639,3516
4227,2485
4227,4462
1484,1876
1484,5071
2504,1324
2504,5623
4068,3955
4068,2992
3792,2488
3792,4459
2572,1387
2572,5560
4239,3224
4239,3723
6262,517
6262,6430
1109,813
1109,6134
5376,5199
5376,1748
664,6818
664,129
5749,4882
5749,2065
293,1261
293,5686
6180,899
6180,6048
6409,4176
6409,2771
5849,1840
5849,5107
4069,6402
4069,545
3029,5822
3029,1125
1664,2436
1664,4511
2185,4955
2185,1992
5175,3216
5175,3731
3739,6804
3739,143
1504,4519
1504,2428
1590,1480
1590,5467
6824,5621
6824,1326
1010,5169
1010,1778
6734,3338
6734,3609
718,2681
718,4266
1747,1675
1747,5272
5897,553
5897,6394
1791,707
1791,6240
4896,4978
4896,1969
5555,2203
5555,4744
1288,3005
1288,3942
4153,6850
4153,97
4717,4000
4717,2947
3180,3344
3180,3603
2358,750
2358,6197
969,3793
969,3154
2808,1440
2808,5507
1025,930
1025,6017
4319,1264
4319,5683
